Year,Month,Date,Block,Paddock,Plot,Direction,Location,Rep Notes,Ht Hi original,Ht Lo original,Check,Same,Height Hi,Height Lo,Species Lo,Notes,Pole notes,,,,,,,,,,,
2019,6,25,1,1,,,1,,28,10,,,29,11,.,Entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,25,1,1,,,2,,40,6,,,41,7,.,Entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,25,1,1,,,3,,34,20,,,35,21,.,Entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,25,1,2,,,1,,51,15,,,52,16,.,Entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,25,1,2,,,2,,22,4,,,23,5,.,Entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,25,1,2,,,3,,20,3,,,21,4,.,Entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,25,1,3,,,1,,4,3,,,5,4,.,Entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,25,1,3,,,2,,30,9,,,31,10,.,Entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,25,1,3,,,3,,30,5,,,31,6,.,Entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,26,1,1,,,1,,38,5,,,39,6,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,26,1,1,,,2,,26,14,,,27,15,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,26,1,1,,,3,,26,7,,,27,8,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,26,1,2,,,1,,26,8,,,27,9,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,26,1,2,,,2,,30,20,,,31,21,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,26,1,2,,,3,,23,1,,,24,2,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,26,1,3,,,1,,40,6,,,41,7,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,26,1,3,,,2,,30,5,,,31,6,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,26,1,3,,,3,,28,2,,,29,3,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,27,1,1,,,1,,34,10,,,35,11,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,27,1,1,,,2,,48,8,,,49,9,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,27,1,1,,,3,,42,4,,,43,5,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,27,1,2,,,1,,22,10,,,23,11,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,27,1,2,,,2,,35,16,,,36,17,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,27,1,2,,,3,,19,2,,,20,3,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,27,1,3,,,1,,39,5,,,40,6,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,27,1,3,,,2,,32,5,,,33,6,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,27,1,3,,,3,,16,2,,,17,3,.,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,1,,,1,1,44,5,,,45,6,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
