Site,Block,Paddock,PlotID,Drought,Grazing
TB,1,2,1,75,HHMMM
TB,1,2,2,99,HHMMM
TB,1,2,3,1,HHMMM
TB,1,2,4,2,HHMMM
TB,1,2,5,50,HHMMM
TB,1,2,6,25,HHMMM
TB,1,3,7,2,MLLMM
TB,1,3,8,75,MLLMM
TB,1,3,9,1,MLLMM
TB,1,3,10,99,MLLMM
TB,1,3,11,50,MLLMM
TB,1,3,12,25,MLLMM
TB,1,1,13,50,MMMMM
TB,1,1,14,75,MMMMM
TB,1,1,15,2,MMMMM
TB,1,1,16,25,MMMMM
TB,1,1,17,1,MMMMM
TB,1,1,18,99,MMMMM
TB,2,2,19,50,HHMMM
TB,2,2,20,2,HHMMM
TB,2,2,21,99,HHMMM
TB,2,2,22,75,HHMMM
TB,2,2,23,1,HHMMM
TB,2,2,24,25,HHMMM
TB,2,1,25,1,MMMMM
TB,2,1,26,75,MMMMM
TB,2,1,27,50,MMMMM
TB,2,1,28,99,MMMMM
TB,2,1,29,2,MMMMM
TB,2,1,30,25,MMMMM
TB,2,3,31,99,MLLMM
TB,2,3,32,25,MLLMM
TB,2,3,33,75,MLLMM
TB,2,3,34,1,MLLMM
TB,2,3,35,50,MLLMM
TB,2,3,36,2,MLLMM
TB,3,3,37,75,MLLMM
TB,3,3,38,25,MLLMM
TB,3,3,39,1,MLLMM
TB,3,3,40,99,MLLMM
TB,3,3,41,2,MLLMM
TB,3,3,42,50,MLLMM
TB,3,2,43,1,HHMMM
TB,3,2,44,25,HHMMM
TB,3,2,45,50,HHMMM
TB,3,2,46,75,HHMMM
TB,3,2,47,99,HHMMM
TB,3,2,48,2,HHMMM
TB,3,1,49,50,MMMMM
TB,3,1,50,25,MMMMM
TB,3,1,51,99,MMMMM
TB,3,1,52,1,MMMMM
TB,3,1,53,2,MMMMM
TB,3,1,54,75,MMMMM
