Site,Exclosure,Disturbance,Plot Name,Date,FG,index,Year,Total_Hits_FG,project,Total Hits,Total_Weight_FG,hits,weight
clayey,,,1.0,2017-07-13,AnnGrass,0,2017,23,PVSAGE,23,82.24,14.0,10.2
clayey,,,1.0,2017-07-13,Brome,0,2017,23,PVSAGE,23,82.24,14.0,8.74
clayey,,,1.0,2017-07-13,C3,0,2017,23,PVSAGE,23,82.24,5.0,47.84
clayey,,,1.0,2017-07-13,C4,0,2017,23,PVSAGE,23,82.24,4.0,20.66
clayey,,,1.0,2017-07-13,Forb,0,2017,23,PVSAGE,23,82.24,0.0,0.62
clayey,,,1.0,2017-07-13,SD,0,2017,23,PVSAGE,23,82.24,0.0,2.92
clayey,,,1.0,2017-07-13,Subshrub,0,2017,23,PVSAGE,23,82.24,,
clayey,,,1.0,2017-07-13,Total,0,2017,23,PVSAGE,23,82.24,23.0,82.24000000000001
clayey,,,1.0,2017-07-13,VUOC,0,2017,23,PVSAGE,23,82.24,0.0,1.46
clayey,,,1.0,2018-07-24,AnnGrass,1,2018,20,PVSAGE,29,108.1,11.0,34.099999999999994
clayey,,,1.0,2018-07-24,Brome,1,2018,20,PVSAGE,29,108.1,11.0,32.8
clayey,,,1.0,2018-07-24,C3,1,2018,20,PVSAGE,29,108.1,7.0,56.1
clayey,,,1.0,2018-07-24,C4,1,2018,20,PVSAGE,29,108.1,0.0,2.4
clayey,,,1.0,2018-07-24,Forb,1,2018,20,PVSAGE,29,108.1,2.0,4.7
clayey,,,1.0,2018-07-24,SD,1,2018,20,PVSAGE,29,108.1,0.0,10.8
clayey,,,1.0,2018-07-24,Subshrub,1,2018,20,PVSAGE,29,108.1,,
clayey,,,1.0,2018-07-24,Total,1,2018,20,PVSAGE,29,108.1,20.0,108.1
clayey,,,1.0,2018-07-24,VUOC,1,2018,20,PVSAGE,29,108.1,0.0,1.3
clayey,,,1.0,2019-07-23,AnnGrass,2,2019,25,PVSAGE,25,240.9,6.0,22.6
clayey,,,1.0,2019-07-23,Brome,2,2019,25,PVSAGE,25,240.9,2.0,9.1
clayey,,,1.0,2019-07-23,C3,2,2019,25,PVSAGE,25,240.9,11.0,155.4
clayey,,,1.0,2019-07-23,C4,2,2019,25,PVSAGE,25,240.9,2.0,16.8
clayey,,,1.0,2019-07-23,Forb,2,2019,25,PVSAGE,25,240.9,6.0,40.900000000000006
clayey,,,1.0,2019-07-23,SD,2,2019,25,PVSAGE,25,240.9,0.0,5.2
clayey,,,1.0,2019-07-23,Subshrub,2,2019,25,PVSAGE,25,240.9,,
clayey,,,1.0,2019-07-23,Total,2,2019,25,PVSAGE,25,240.9,25.0,240.9
clayey,,,1.0,2019-07-23,VUOC,2,2019,25,PVSAGE,25,240.9,4.0,13.5
clayey,,,1.0,2020-07-27,AnnGrass,3,2020,16,PVSAGE,16,66.96000000000001,1.0,2.74
clayey,,,1.0,2020-07-27,Brome,3,2020,16,PVSAGE,16,66.96000000000001,0.0,0.1
clayey,,,1.0,2020-07-27,C3,3,2020,16,PVSAGE,16,66.96000000000001,6.0,17.64
clayey,,,1.0,2020-07-27,C4,3,2020,16,PVSAGE,16,66.96000000000001,1.0,6.06
clayey,,,1.0,2020-07-27,Forb,3,2020,16,PVSAGE,16,66.96000000000001,0.0,0.0
clayey,,,1.0,2020-07-27,SD,3,2020,16,PVSAGE,16,66.96000000000001,8.0,40.52
clayey,,,1.0,2020-07-27,Subshrub,3,2020,16,PVSAGE,16,66.96000000000001,,
clayey,,,1.0,2020-07-27,Total,3,2020,16,PVSAGE,16,66.96000000000001,16.0,66.96000000000001
clayey,,,1.0,2020-07-27,VUOC,3,2020,16,PVSAGE,16,66.96000000000001,1.0,2.64
clayey,,,1.0,2021-07-26,AnnGrass,4,2021,12,PVSAGE,12,31.9342,0.0,1.48
clayey,,,1.0,2021-07-26,Brome,4,2021,12,PVSAGE,12,31.9342,0.0,0.32
clayey,,,1.0,2021-07-26,C3,4,2021,12,PVSAGE,12,31.9342,6.0,14.56
clayey,,,1.0,2021-07-26,C4,4,2021,12,PVSAGE,12,31.9342,6.0,13.44
clayey,,,1.0,2021-07-26,Forb,4,2021,12,PVSAGE,12,31.9342,0.0,1.2342000000000002
clayey,,,1.0,2021-07-26,SD,4,2021,12,PVSAGE,12,31.9342,0.0,1.22
clayey,,,1.0,2021-07-26,Subshrub,4,2021,12,PVSAGE,12,31.9342,,
clayey,,,1.0,2021-07-26,Total,4,2021,12,PVSAGE,12,31.9342,12.0,31.9342
clayey,,,1.0,2021-07-26,VUOC,4,2021,12,PVSAGE,12,31.9342,0.0,1.16
clayey,,,2.0,2017-07-13,AnnGrass,5,2017,19,PVSAGE,19,85.26,0.0,0.34
clayey,,,2.0,2017-07-13,Brome,5,2017,19,PVSAGE,19,85.26,0.0,0.32
clayey,,,2.0,2017-07-13,C3,5,2017,19,PVSAGE,19,85.26,10.0,51.58
clayey,,,2.0,2017-07-13,C4,5,2017,19,PVSAGE,19,85.26,9.0,30.12
clayey,,,2.0,2017-07-13,Forb,5,2017,19,PVSAGE,19,85.26,0.0,1.68
clayey,,,2.0,2017-07-13,SD,5,2017,19,PVSAGE,19,85.26,0.0,1.54
