Site,Disturbance,Exclosure,Date,hits_Total,hits_C4,hits_C3,hits_Brome,hits_VUOC,hits_AnnForb,hits_PerForb,hits_Forb,hits_Subshrub,hits_SD,hits_Herb,weight_Total,weight_C4,weight_C3,weight_Brome,weight_Forb,weight_AnnForb,weight_PerForb,weight_VUOC,weight_Subshrub,weight_SD,weight_Herb,Year
lake creek,control,livestock ex,2017-07-25,18,6,1,10,0,1,0,1,0,0,18,99.59333333333335,9.986666666666666,7.159999999999999,7.56,6.02,0.0,0.0,3.6199999999999997,0.0,0.0,99.59333333333335,2017
lake creek,control,livestock ex,2018-08-06,36,5,6,17,0,8,0,8,0,0,36,185.01333333333332,11.46,13.553333333333333,14.966666666666667,11.933333333333332,0.0,0.0,0.0,0.0,11.046666666666667,173.96666666666664,2018
lake creek,control,livestock ex,2019-07-31,23,1,0,20,0,2,0,2,0,0,23,119.54,23.766666666666666,0.0,14.966666666666667,0.0,5.933333333333334,0.3,0.006666666666666667,0.0,1.2,118.34,2019
lake creek,control,livestock ex,2020-08-03,13,3,0,7,0,0,0,0,0,3,13,83.36,22.12,0.0,13.9,0.0,0.3,0.0,0.0,0.0,23.8,59.56,2020
lake creek,control,out,2017-07-25,11,6,3,2,0,0,0,0,0,0,11,81.11333333333333,9.4,8.053333333333335,3.7400000000000007,3.8200000000000003,0.0,0.0,3.6333333333333333,0.0,0.0,81.11333333333333,2017
lake creek,control,out,2018-08-06,23,16,0,3,0,4,0,4,0,0,23,100.28666666666668,7.546666666666667,4.4799999999999995,1.1266666666666667,9.853333333333333,0.0,0.0,0.0,0.0,2.1666666666666665,98.12,2018
lake creek,control,out,2019-07-31,32,0,5,13,0,7,0,7,0,0,25,93.66666666666667,4.666666666666667,6.833333333333333,14.4,0.0,7.3999999999999995,0.0,0.0,0.0,0.7666666666666666,92.9,2019
lake creek,control,out,2020-08-03,4,1,0,1,0,0,0,0,0,2,4,39.4218,19.02,1.72,2.02,0.0,0.04,0.0,0.0018,0.0,15.98,23.441799999999997,2020
lake creek,control,ungulate ex,2017-07-25,37,23,3,7,0,4,0,4,0,0,37,178.04,13.260000000000003,21.37333333333333,3.720000000000001,7.733333333333333,0.0,0.0,0.0,0.0,0.0,178.04,2017
lake creek,control,ungulate ex,2018-08-06,28,0,11,11,0,2,0,2,0,4,28,253.08,5.193333333333333,46.85333333333333,10.82,13.200000000000001,0.0,0.0,0.0,0.0,13.719999999999999,239.36,2018
lake creek,control,ungulate ex,2019-07-31,47,1,9,18,0,14,0,14,0,5,47,226.79999999999998,3.033333333333333,19.066666666666666,25.766666666666666,0.0,21.733333333333334,0.16666666666666666,0.0,0.0,0.7333333333333334,226.06666666666666,2019
lake creek,control,ungulate ex,2020-08-03,29,0,6,18,0,0,0,0,0,5,29,150.0,10.1,45.3,39.7,0.0,1.4,0.0,0.0,0.0,53.5,96.5,2020
