Site,Disturbance,Exclosure,Date,FG,Year,Total Hits,hits,weight
lake creek,control,livestock ex,2017-07-25,AnnGrass,2017,18,10,33.54
lake creek,control,livestock ex,2017-07-25,Brome,2017,18,10,22.68
lake creek,control,livestock ex,2017-07-25,C3,2017,18,1,21.479999999999997
lake creek,control,livestock ex,2017-07-25,C4,2017,18,6,29.959999999999997
lake creek,control,livestock ex,2017-07-25,Forb,2017,18,1,18.06
lake creek,control,livestock ex,2017-07-25,SD,2017,18,0,0.0
lake creek,control,livestock ex,2017-07-25,Subshrub,2017,18,0,0.0
lake creek,control,livestock ex,2017-07-25,Total,2017,18,18,103.04
lake creek,control,livestock ex,2017-07-25,VUOC,2017,18,0,10.86
lake creek,control,livestock ex,2018-08-06,AnnGrass,2018,36,17,44.9
lake creek,control,livestock ex,2018-08-06,Brome,2018,36,17,44.9
lake creek,control,livestock ex,2018-08-06,C3,2018,36,6,40.66
lake creek,control,livestock ex,2018-08-06,C4,2018,36,5,34.38
lake creek,control,livestock ex,2018-08-06,Forb,2018,36,8,35.8
lake creek,control,livestock ex,2018-08-06,SD,2018,36,0,33.14
lake creek,control,livestock ex,2018-08-06,Subshrub,2018,36,0,0.0
lake creek,control,livestock ex,2018-08-06,Total,2018,36,36,188.88
lake creek,control,livestock ex,2018-08-06,VUOC,2018,36,0,0.0
lake creek,control,livestock ex,2019-07-31,AnnGrass,2019,23,20,44.92
lake creek,control,livestock ex,2019-07-31,Brome,2019,23,20,44.9
lake creek,control,livestock ex,2019-07-31,C3,2019,23,0,0.0
lake creek,control,livestock ex,2019-07-31,C4,2019,23,1,71.3
lake creek,control,livestock ex,2019-07-31,Forb,2019,23,2,18.7
lake creek,control,livestock ex,2019-07-31,SD,2019,23,0,3.6
lake creek,control,livestock ex,2019-07-31,Subshrub,2019,23,0,0.0
lake creek,control,livestock ex,2019-07-31,Total,2019,23,23,138.52
lake creek,control,livestock ex,2019-07-31,VUOC,2019,23,0,0.02
lake creek,control,livestock ex,2020-08-03,AnnGrass,2020,13,7,13.9
lake creek,control,livestock ex,2020-08-03,Brome,2020,13,7,13.9
lake creek,control,livestock ex,2020-08-03,C3,2020,13,0,0.0
