Site,Disturbance,Exclosure,Date,Date_cln,Year,High_cm,Low_cm,Area (m^2),Total Weight (g),Total Weight (g/m^2)
lake creek,control,livestock ex,2018-07-03,2018-07-03,2018,36.891891891891895,6.135135135135135,0.10000000000000002,21.416666666666668,214.16666666666666
lake creek,control,livestock ex,2019-07-01,2019-07-01,2019,32.714285714285715,7.942857142857143,0.10000000000000002,18.066666666666666,180.66666666666663
lake creek,control,livestock ex,2020-07-01,2020-07-01,2020,29.61111111111111,4.972222222222222,0.10000000000000002,7.236666666666668,14.473333333333336
lake creek,control,out,2018-07-03,2018-07-03,2018,27.892857142857142,6.285714285714286,0.10000000000000002,11.866666666666665,118.66666666666667
lake creek,control,out,2019-07-01,2019-07-01,2019,24.433333333333334,6.866666666666666,0.10000000000000002,14.516666666666667,145.16666666666666
lake creek,control,out,2020-07-01,2020-07-01,2020,17.724137931034484,2.896551724137931,0.1,8.26,16.52
lake creek,control,ungulate ex,2018-07-03,2018-07-03,2018,49.44736842105263,11.473684210526315,0.10000000000000002,29.66666666666667,296.6666666666667
lake creek,control,ungulate ex,2019-07-01,2019-07-01,2019,36.421052631578945,16.36842105263158,0.10000000000000002,23.083333333333332,230.83333333333337
lake creek,control,ungulate ex,2020-07-01,2020-07-01,2020,37.56410256410256,7.538461538461538,0.10000000000000002,11.416666666666666,22.833333333333332
lake creek,fire,livestock ex,2018-07-03,2018-07-03,2018,32.825,14.6,0.10000000000000002,27.75,277.5
lake creek,fire,livestock ex,2019-07-02,2019-07-01,2019,35.0,12.075,0.10000000000000002,24.066666666666666,240.6666666666666
lake creek,fire,livestock ex,2020-07-09,2020-07-01,2020,21.875,7.125,0.1,12.145,24.29
lake creek,fire,out,2018-07-03,2018-07-03,2018,23.025,6.425,0.10000000000000002,20.8,208.0
lake creek,fire,out,2019-07-02,2019-07-01,2019,23.825,8.475,0.10000000000000002,19.0,190.0
lake creek,fire,out,2020-07-07,2020-07-01,2020,15.75,3.15,0.10000000000000002,14.1,28.2
lake creek,fire,ungulate ex,2018-07-03,2018-07-03,2018,23.555555555555557,7.277777777777778,0.10000000000000002,22.8,228.0
lake creek,fire,ungulate ex,2019-07-02,2019-07-01,2019,32.31578947368421,10.0,0.10000000000000002,22.71666666666667,227.16666666666663
lake creek,fire,ungulate ex,2020-07-09,2020-07-01,2020,24.342105263157894,6.894736842105263,0.1,27.78,55.56
lake creek,prairie dog,livestock ex,2018-07-03,2018-07-03,2018,32.75675675675676,8.702702702702704,0.10000000000000002,16.05,160.49999999999997
lake creek,prairie dog,livestock ex,2019-07-01,2019-07-01,2019,29.125,13.275,0.10000000000000002,23.433333333333334,234.33333333333334
lake creek,prairie dog,livestock ex,2020-07-01,2020-07-01,2020,18.032258064516128,4.161290322580645,0.10000000000000002,9.126666666666667,18.253333333333334
lake creek,prairie dog,out,2018-07-04,2018-07-03,2018,24.91891891891892,5.72972972972973,0.10000000000000002,26.266666666666666,262.6666666666667
lake creek,prairie dog,out,2019-07-01,2019-07-01,2019,26.2,9.1,0.10000000000000002,19.816666666666666,198.16666666666666
lake creek,prairie dog,out,2020-06-30,2020-07-01,2020,16.512820512820515,3.2051282051282053,0.10000000000000002,14.439999999999996,28.879999999999992
lake creek,prairie dog,ungulate ex,2018-07-03,2018-07-03,2018,23.45,6.3,0.10000000000000002,17.75,177.5
lake creek,prairie dog,ungulate ex,2019-07-01,2019-07-01,2019,24.675,8.125,0.10000000000000002,17.833333333333332,178.33333333333334
lake creek,prairie dog,ungulate ex,2020-07-01,2020-07-01,2020,19.05,4.05,0.10000000000000002,15.440000000000001,30.880000000000003
steckley,control,livestock ex,2018-06-28,2018-06-28,2018,59.111111111111114,9.777777777777779,0.10000000000000002,18.150000000000002,181.5
steckley,control,livestock ex,2019-06-27,2019-06-26,2019,45.903225806451616,15.612903225806452,0.10000000000000002,34.48333333333333,344.8333333333333
steckley,control,livestock ex,2020-07-07,2020-07-07,2020,42.0,9.31578947368421,0.1,22.395,44.79
steckley,control,out,2018-06-25,2018-06-25,2018,59.3448275862069,13.413793103448276,0.1,26.25,262.5
steckley,control,out,2019-06-27,2019-06-26,2019,55.064516129032256,18.451612903225808,0.10000000000000002,24.066666666666666,240.66666666666666
steckley,control,out,2020-07-07,2020-07-07,2020,33.88,10.72,0.10000000000000002,25.873333333333335,51.74666666666667
steckley,control,ungulate ex,2018-06-28,2018-06-28,2018,23.444444444444443,2.185185185185185,0.10000000000000002,10.299999999999999,103.0
steckley,control,ungulate ex,2019-06-27,2019-06-26,2019,23.344827586206897,3.206896551724138,0.1,9.35,93.5
steckley,control,ungulate ex,2020-07-07,2020-07-07,2020,17.151515151515152,3.1818181818181817,0.1,10.045,20.09
steckley,fire,livestock ex,2018-06-27,2018-06-27,2018,38.675,13.1,0.10000000000000002,23.53333333333333,235.33333333333334
steckley,fire,livestock ex,2019-06-27,2019-06-26,2019,37.225,14.7,0.10000000000000002,13.75,137.49999999999997
steckley,fire,out,2018-06-27,2018-06-27,2018,36.25,10.025,0.10000000000000002,32.71666666666666,327.1666666666667
steckley,fire,out,2019-06-27,2019-06-26,2019,31.375,8.275,0.10000000000000002,15.066666666666668,150.66666666666666
steckley,fire,ungulate ex,2018-06-27,2018-06-27,2018,44.85,20.2,0.10000000000000002,28.083333333333332,280.8333333333333
steckley,fire,ungulate ex,2019-06-27,2019-06-26,2019,48.975,18.625,0.10000000000000002,44.583333333333336,445.8333333333333
steckley,prairie dog,livestock ex,2018-07-04,2018-06-25,2018,49.525,16.4,0.10000000000000002,39.6,396.0
steckley,prairie dog,livestock ex,2019-06-24,2019-06-24,2019,46.45,26.7,0.10000000000000002,50.23333333333333,502.3333333333333
steckley,prairie dog,livestock ex,2020-07-06,2020-07-07,2020,25.625,10.575,0.10000000000000002,51.30333333333334,102.60666666666668
steckley,prairie dog,out,2018-07-04,2018-06-25,2018,29.6,9.425,0.10000000000000002,24.083333333333332,240.83333333333334
steckley,prairie dog,out,2019-06-24,2019-06-24,2019,39.025,16.5,0.10000000000000002,46.56666666666666,465.6666666666667
steckley,prairie dog,out,2020-07-06,2020-07-07,2020,24.075,8.05,0.10000000000000002,29.169999999999998,58.339999999999996
steckley,prairie dog,ungulate ex,2018-07-04,2018-06-25,2018,47.85,18.575,0.10000000000000002,43.31666666666666,433.1666666666667
steckley,prairie dog,ungulate ex,2019-06-27,2019-06-26,2019,61.025,36.575,0.10000000000000002,48.6,486.0
steckley,prairie dog,ungulate ex,2020-07-06,2020-07-07,2020,30.5,12.925,0.10000000000000002,26.363333333333333,52.72666666666667
west fork,control,livestock ex,2018-07-02,2018-07-02,2018,36.05128205128205,12.0,0.10000000000000002,20.849999999999998,208.5
west fork,control,livestock ex,2019-07-09,2019-07-02,2019,37.23076923076923,17.205128205128204,0.10000000000000002,33.0,330.0
west fork,control,livestock ex,2021-07-15,2021-07-13,2021,24.97142857142857,7.914285714285715,0.10000000000000002,5.2299999999999995,52.29999999999999
west fork,control,out,2018-07-02,2018-07-02,2018,35.55,8.075,0.10000000000000002,22.96666666666667,229.66666666666666
west fork,control,out,2019-07-09,2019-07-02,2019,33.41025641025641,10.717948717948717,0.10000000000000002,27.3,273.0
west fork,control,out,2021-07-15,2021-07-13,2021,25.425,5.4,0.10000000000000002,5.413333333333333,54.133333333333326
west fork,control,ungulate ex,2018-07-02,2018-07-02,2018,40.57142857142857,8.714285714285714,0.10000000000000002,17.450000000000003,174.5
west fork,control,ungulate ex,2019-07-09,2019-07-02,2019,39.46875,11.34375,0.10000000000000002,31.8,318.0
west fork,control,ungulate ex,2021-07-15,2021-07-13,2021,26.914285714285715,7.857142857142857,0.10000000000000002,13.85,138.5
west fork,fire,livestock ex,2018-07-02,2018-07-02,2018,39.675,9.375,0.10000000000000002,26.18333333333333,261.8333333333333
west fork,fire,livestock ex,2019-07-02,2019-07-02,2019,36.1025641025641,9.333333333333334,0.10000000000000002,41.0,410.0
west fork,fire,livestock ex,2021-07-15,2021-07-13,2021,24.28205128205128,7.589743589743589,0.10000000000000002,21.66333333333333,216.6333333333333
west fork,fire,out,2018-07-02,2018-07-02,2018,39.45454545454545,10.636363636363637,0.10000000000000002,23.099999999999998,231.0
west fork,fire,out,2019-07-02,2019-07-02,2019,39.205882352941174,16.41176470588235,0.10000000000000002,25.399999999999995,254.0
west fork,fire,out,2020-07-14,2020-07-13,2020,25.939393939393938,7.484848484848484,0.10000000000000002,26.94333333333333,53.88666666666666
