Site,Plot Name,Date,FG,Year,Total Hits,hits,weight
clayey,1,2017-07-13,AnnGrass,2017,23,14,10.2
clayey,1,2017-07-13,Brome,2017,23,14,8.74
clayey,1,2017-07-13,C3,2017,23,5,47.84
clayey,1,2017-07-13,C4,2017,23,4,20.66
clayey,1,2017-07-13,Forb,2017,23,0,0.62
clayey,1,2017-07-13,SD,2017,23,0,2.92
clayey,1,2017-07-13,Total,2017,23,23,82.24000000000001
clayey,1,2017-07-13,VUOC,2017,23,0,1.46
clayey,1,2018-07-24,AnnGrass,2018,29,11,34.099999999999994
clayey,1,2018-07-24,Brome,2018,29,11,32.8
clayey,1,2018-07-24,C3,2018,29,7,56.1
clayey,1,2018-07-24,C4,2018,29,0,2.4
clayey,1,2018-07-24,Forb,2018,29,2,4.7
clayey,1,2018-07-24,SD,2018,29,0,10.8
clayey,1,2018-07-24,Total,2018,29,20,108.10000000000001
clayey,1,2018-07-24,VUOC,2018,29,0,1.3
clayey,1,2019-07-23,AnnGrass,2019,25,6,22.6
clayey,1,2019-07-23,Brome,2019,25,2,9.1
clayey,1,2019-07-23,C3,2019,25,11,155.4
clayey,1,2019-07-23,C4,2019,25,2,16.8
clayey,1,2019-07-23,Forb,2019,25,6,40.900000000000006
clayey,1,2019-07-23,SD,2019,25,0,5.2
clayey,1,2019-07-23,Total,2019,25,25,240.89999999999998
clayey,1,2019-07-23,VUOC,2019,25,4,13.5
clayey,1,2020-07-27,AnnGrass,2020,16,1,2.74
clayey,1,2020-07-27,Brome,2020,16,0,0.1
clayey,1,2020-07-27,C3,2020,16,6,17.64
clayey,1,2020-07-27,C4,2020,16,1,6.06
clayey,1,2020-07-27,Forb,2020,16,0,0.0
clayey,1,2020-07-27,SD,2020,16,8,40.52
clayey,1,2020-07-27,Total,2020,16,16,66.96000000000001
clayey,1,2020-07-27,VUOC,2020,16,1,2.64
clayey,1,2021-07-26,AnnGrass,2021,12,0,1.48
clayey,1,2021-07-26,Brome,2021,12,0,0.32
clayey,1,2021-07-26,C3,2021,12,6,14.56
clayey,1,2021-07-26,C4,2021,12,6,13.44
clayey,1,2021-07-26,Forb,2021,12,0,1.2342000000000002
clayey,1,2021-07-26,SD,2021,12,0,1.22
clayey,1,2021-07-26,Total,2021,12,12,31.9342
clayey,1,2021-07-26,VUOC,2021,12,0,1.16
clayey,2,2017-07-13,AnnGrass,2017,19,0,0.34
clayey,2,2017-07-13,Brome,2017,19,0,0.32
clayey,2,2017-07-13,C3,2017,19,10,51.58
clayey,2,2017-07-13,C4,2017,19,9,30.12
clayey,2,2017-07-13,Forb,2017,19,0,1.68
clayey,2,2017-07-13,SD,2017,19,0,1.54
clayey,2,2017-07-13,Total,2017,19,19,85.26
clayey,2,2017-07-13,VUOC,2017,19,0,0.02
clayey,2,2018-07-24,AnnGrass,2018,42,12,20.2
clayey,2,2018-07-24,Brome,2018,42,9,14.5
clayey,2,2018-07-24,C3,2018,42,15,71.1
clayey,2,2018-07-24,C4,2018,42,11,22.4
clayey,2,2018-07-24,Forb,2018,42,4,4.4
clayey,2,2018-07-24,SD,2018,42,0,8.5
clayey,2,2018-07-24,Total,2018,42,42,126.60000000000001
clayey,2,2018-07-24,VUOC,2018,42,3,5.7
clayey,2,2019-07-23,AnnGrass,2019,36,15,16.8
clayey,2,2019-07-23,Brome,2019,36,1,2.5
clayey,2,2019-07-23,C3,2019,36,10,78.0
clayey,2,2019-07-23,C4,2019,36,4,25.3
clayey,2,2019-07-23,Forb,2019,36,5,57.4
clayey,2,2019-07-23,SD,2019,36,2,2.7
clayey,2,2019-07-23,Total,2019,36,36,180.2
clayey,2,2019-07-23,VUOC,2019,36,14,14.3
clayey,2,2020-07-27,AnnGrass,2020,35,4,3.8000000000000003
clayey,2,2020-07-27,Brome,2020,35,4,3.16
clayey,2,2020-07-27,C3,2020,35,15,12.54
clayey,2,2020-07-27,C4,2020,35,10,8.98
clayey,2,2020-07-27,Forb,2020,35,0,0.0
clayey,2,2020-07-27,SD,2020,35,6,40.2
clayey,2,2020-07-27,Total,2020,35,35,65.52000000000001
clayey,2,2020-07-27,VUOC,2020,35,0,0.64
clayey,2,2021-07-26,AnnGrass,2021,13,4,1.5386000000000002
clayey,2,2021-07-26,Brome,2021,13,1,1.34
clayey,2,2021-07-26,C3,2021,13,3,35.56
clayey,2,2021-07-26,C4,2021,13,4,5.44
clayey,2,2021-07-26,Forb,2021,13,0,0.0012
clayey,2,2021-07-26,SD,2021,13,0,1.3114
clayey,2,2021-07-26,Total,2021,13,11,43.8512
clayey,2,2021-07-26,VUOC,2021,13,3,0.1986
clayey,3,2017-07-13,AnnGrass,2017,11,0,0.5
clayey,3,2017-07-13,Brome,2017,11,0,0.1
clayey,3,2017-07-13,C3,2017,11,9,39.56
clayey,3,2017-07-13,C4,2017,11,2,18.48
clayey,3,2017-07-13,Forb,2017,11,0,0.04
clayey,3,2017-07-13,SD,2017,11,0,2.84
clayey,3,2017-07-13,Total,2017,11,11,61.42
clayey,3,2017-07-13,VUOC,2017,11,0,0.4
clayey,3,2018-07-24,AnnGrass,2018,34,0,5.6028
clayey,3,2018-07-24,Brome,2018,34,0,4.3
clayey,3,2018-07-24,C3,2018,34,10,33.1
clayey,3,2018-07-24,C4,2018,34,11,32.4
clayey,3,2018-07-24,Forb,2018,34,13,23.1
clayey,3,2018-07-24,SD,2018,34,0,1.6
clayey,3,2018-07-24,Total,2018,34,34,95.8028
clayey,3,2018-07-24,VUOC,2018,34,0,1.3028
clayey,3,2019-07-23,AnnGrass,2019,31,17,27.0
clayey,3,2019-07-23,Brome,2019,31,7,20.5
clayey,3,2019-07-23,C3,2019,31,3,68.4
clayey,3,2019-07-23,C4,2019,31,5,33.3
clayey,3,2019-07-23,Forb,2019,31,3,42.7
clayey,3,2019-07-23,SD,2019,31,3,4.8
clayey,3,2019-07-23,Total,2019,31,31,176.20000000000002
clayey,3,2019-07-23,VUOC,2019,31,10,6.5
clayey,3,2020-07-27,AnnGrass,2020,50,12,4.18
clayey,3,2020-07-27,Brome,2020,50,12,3.58
clayey,3,2020-07-27,C3,2020,50,7,18.76
clayey,3,2020-07-27,C4,2020,50,7,2.64
clayey,3,2020-07-27,Forb,2020,50,0,0.009
clayey,3,2020-07-27,SD,2020,50,16,35.36
clayey,3,2020-07-27,Total,2020,50,42,60.949000000000005
clayey,3,2020-07-27,VUOC,2020,50,0,0.6
clayey,3,2021-07-26,AnnGrass,2021,11,1,0.68
clayey,3,2021-07-26,Brome,2021,11,1,0.68
clayey,3,2021-07-26,C3,2021,11,5,29.44
clayey,3,2021-07-26,C4,2021,11,5,3.4
clayey,3,2021-07-26,Forb,2021,11,0,0.0078
clayey,3,2021-07-26,SD,2021,11,0,0.72
clayey,3,2021-07-26,Total,2021,11,11,34.247800000000005
clayey,3,2021-07-26,VUOC,2021,11,0,0.0
clayey,4,2017-07-13,AnnGrass,2017,28,0,0.9400000000000001
clayey,4,2017-07-13,Brome,2017,28,0,0.8
clayey,4,2017-07-13,C3,2017,28,4,17.26
clayey,4,2017-07-13,C4,2017,28,24,21.12
clayey,4,2017-07-13,Forb,2017,28,0,22.32
clayey,4,2017-07-13,SD,2017,28,0,2.12
clayey,4,2017-07-13,Total,2017,28,28,63.760000000000005
clayey,4,2017-07-13,VUOC,2017,28,0,0.14
clayey,4,2018-07-24,AnnGrass,2018,51,11,19.4
clayey,4,2018-07-24,Brome,2018,51,11,19.0
clayey,4,2018-07-24,C3,2018,51,21,74.5
clayey,4,2018-07-24,C4,2018,51,1,16.3
clayey,4,2018-07-24,Forb,2018,51,0,1.2
clayey,4,2018-07-24,SD,2018,51,0,14.9
clayey,4,2018-07-24,Total,2018,51,33,126.30000000000001
clayey,4,2018-07-24,VUOC,2018,51,0,0.4
clayey,4,2019-07-23,AnnGrass,2019,31,14,32.4
clayey,4,2019-07-23,Brome,2019,31,8,20.3
clayey,4,2019-07-23,C3,2019,31,8,69.7
clayey,4,2019-07-23,C4,2019,31,2,26.5
clayey,4,2019-07-23,Forb,2019,31,6,24.8
clayey,4,2019-07-23,SD,2019,31,1,8.5
clayey,4,2019-07-23,Total,2019,31,31,161.9
clayey,4,2019-07-23,VUOC,2019,31,6,12.1
clayey,4,2020-07-29,AnnGrass,2020,16,5,8.280000000000001
clayey,4,2020-07-29,Brome,2020,16,4,6.48
clayey,4,2020-07-29,C3,2020,16,6,14.44
clayey,4,2020-07-29,C4,2020,16,0,12.18
clayey,4,2020-07-29,Forb,2020,16,0,0.0
clayey,4,2020-07-29,SD,2020,16,4,53.58
clayey,4,2020-07-29,Total,2020,16,15,88.47999999999999
clayey,4,2020-07-29,VUOC,2020,16,1,1.8
clayey,4,2021-07-26,AnnGrass,2021,20,5,5.895
clayey,4,2021-07-26,Brome,2021,20,3,5.64
clayey,4,2021-07-26,C3,2021,20,6,15.98
clayey,4,2021-07-26,C4,2021,20,9,5.98
clayey,4,2021-07-26,Forb,2021,20,0,0.6434
clayey,4,2021-07-26,SD,2021,20,0,0.3926
clayey,4,2021-07-26,Total,2021,20,20,28.891000000000005
clayey,4,2021-07-26,VUOC,2021,20,2,0.255
clayey,5,2017-07-13,AnnGrass,2017,29,4,11.68
clayey,5,2017-07-13,Brome,2017,29,4,11.42
clayey,5,2017-07-13,C3,2017,29,5,56.94
clayey,5,2017-07-13,C4,2017,29,4,16.4
clayey,5,2017-07-13,Forb,2017,29,0,5.38
clayey,5,2017-07-13,SD,2017,29,0,5.56
clayey,5,2017-07-13,Total,2017,29,13,95.96
clayey,5,2017-07-13,VUOC,2017,29,0,0.26
clayey,5,2018-07-24,AnnGrass,2018,24,0,2.9
clayey,5,2018-07-24,Brome,2018,24,0,1.0
clayey,5,2018-07-24,C3,2018,24,13,49.6
clayey,5,2018-07-24,C4,2018,24,6,44.5
clayey,5,2018-07-24,Forb,2018,24,0,7.0
clayey,5,2018-07-24,SD,2018,24,0,17.5
clayey,5,2018-07-24,Total,2018,24,19,121.5
clayey,5,2018-07-24,VUOC,2018,24,0,1.9
clayey,5,2019-07-23,AnnGrass,2019,29,9,23.3
clayey,5,2019-07-23,Brome,2019,29,0,1.0
clayey,5,2019-07-23,C3,2019,29,2,69.7
clayey,5,2019-07-23,C4,2019,29,9,35.5
clayey,5,2019-07-23,Forb,2019,29,5,44.900000000000006
clayey,5,2019-07-23,SD,2019,29,1,8.3
clayey,5,2019-07-23,Total,2019,29,26,181.70000000000002
clayey,5,2019-07-23,VUOC,2019,29,9,22.3
clayey,5,2020-07-29,AnnGrass,2020,26,8,9.08
clayey,5,2020-07-29,Brome,2020,26,8,7.36
clayey,5,2020-07-29,C3,2020,26,5,35.82
clayey,5,2020-07-29,C4,2020,26,3,3.6
clayey,5,2020-07-29,Forb,2020,26,0,0.0
clayey,5,2020-07-29,SD,2020,26,9,44.16
clayey,5,2020-07-29,Total,2020,26,25,92.66
clayey,5,2020-07-29,VUOC,2020,26,0,1.72
clayey,5,2021-07-26,AnnGrass,2021,22,4,5.22
clayey,5,2021-07-26,Brome,2021,22,4,5.1
clayey,5,2021-07-26,C3,2021,22,7,24.34
clayey,5,2021-07-26,C4,2021,22,0,11.64
clayey,5,2021-07-26,Forb,2021,22,0,0.0154
clayey,5,2021-07-26,SD,2021,22,3,4.52
clayey,5,2021-07-26,Total,2021,22,14,45.7354
clayey,5,2021-07-26,VUOC,2021,22,0,0.12
clayey,6,2017-07-13,AnnGrass,2017,16,0,0.18
clayey,6,2017-07-13,Brome,2017,16,0,0.02
clayey,6,2017-07-13,C3,2017,16,9,20.48
clayey,6,2017-07-13,C4,2017,16,7,24.46
clayey,6,2017-07-13,Forb,2017,16,0,6.78
clayey,6,2017-07-13,SD,2017,16,0,0.34
clayey,6,2017-07-13,Total,2017,16,16,52.24
clayey,6,2017-07-13,VUOC,2017,16,0,0.16
clayey,6,2018-07-24,AnnGrass,2018,53,2,4.0
clayey,6,2018-07-24,Brome,2018,53,0,1.4
clayey,6,2018-07-24,C3,2018,53,45,88.6
clayey,6,2018-07-24,C4,2018,53,3,12.1
clayey,6,2018-07-24,Forb,2018,53,0,0.6
clayey,6,2018-07-24,SD,2018,53,0,16.3
clayey,6,2018-07-24,Total,2018,53,50,121.59999999999998
clayey,6,2018-07-24,VUOC,2018,53,2,2.6
clayey,6,2019-07-23,AnnGrass,2019,28,5,12.700000000000001
clayey,6,2019-07-23,Brome,2019,28,0,0.3
clayey,6,2019-07-23,C3,2019,28,13,91.6
clayey,6,2019-07-23,C4,2019,28,5,36.9
clayey,6,2019-07-23,Forb,2019,28,5,28.8
clayey,6,2019-07-23,SD,2019,28,0,3.5
