ID,Date,Project,gps_E,gps_N,Method,bm_gm2
1937-l-in,2015-07-15,FIRE,476873.48744828114,4791805.441749999,clip,152.9565
1974-l-in,2015-07-20,FIRE,485662.43594999984,4786828.4982,clip,151.54000000000002
1974-l-out,2015-07-20,FIRE,485729.5253999997,4787083.9599,clip,99.4995
1nw01,2017-08-15,PDOG,494356.295,4817504.255,clip,58.32
2duchardtE24,2017-08-15,PDOG,493635.375,4818164.66,clip,58.66
35mm-l-in,2015-08-04,FIRE,510876.1619895001,4835577.1433850005,clip,100.5932
35mm-ss-in,2015-08-05,FIRE,513198.76993,4832818.621705,clip,151.2928
35mm-ss-out,2015-08-05,FIRE,513582.01244672143,4832943.600727814,clip,100.8709
A1.1,2021-07-22,PDOG,495495.0,4817824.0,clip,38.922
A2.1,2021-07-22,PDOG,495538.0,4811124.0,clip,24.663
A3.1,2021-07-22,PDOG,502074.0,4802246.0,clip,37.175
C1.1,2015-07-23,BIRD,486913.0,4813259.0,vor,3.0380151984896697
C1.1,2016-06-29,BIRD,486913.0,4813259.0,vor,11.77820021900423
C1.1,2017-07-06,BIRD,486913.0,4813259.0,vor,45.174056111328426
C1.1,2018-06-18,BIRD,486913.0,4813259.0,vor,96.25525054274227
C1.1,2019-06-13,BIRD,486913.0,4813259.0,vor,126.18809094616806
C1.2,2015-07-23,BIRD,487089.0,4813082.0,vor,208.35628402750586
C1.2,2016-06-29,BIRD,487089.0,4813082.0,vor,119.18780447894922
C1.2,2017-07-06,BIRD,487089.0,4813082.0,vor,176.2590814834405
C1.2,2017-08-08,PDOG,487106.76,4813085.065,clip,35.73864
C1.2,2018-06-18,BIRD,487089.0,4813082.0,vor,197.19403893600634
C1.2,2019-06-13,BIRD,487089.0,4813082.0,vor,134.85876438557156
C1.3,2015-07-23,BIRD,487266.0,4812905.0,vor,44.18744500082013
C1.3,2016-06-29,BIRD,487266.0,4812905.0,vor,5.8793236708389465
C1.3,2017-07-06,BIRD,487266.0,4812905.0,vor,17.521382834894276
C1.3,2018-06-18,BIRD,487266.0,4812905.0,vor,62.29945377125505
C1.3,2019-06-13,BIRD,487266.0,4812905.0,vor,73.83246428245678
C1.4,2015-07-23,BIRD,487443.0,4812728.0,vor,27.720464155158897
C1.4,2016-06-29,BIRD,487443.0,4812728.0,vor,-3.0997899374501925
C1.4,2017-07-06,BIRD,487443.0,4812728.0,vor,34.50131718883663
C1.4,2018-06-18,BIRD,487443.0,4812728.0,vor,74.11107795376809
C1.4,2019-06-13,BIRD,487443.0,4812728.0,vor,65.81651444540255
C1.5,2015-07-23,BIRD,487620.0,4812552.0,vor,25.80081725185878
C1.5,2016-06-29,BIRD,487620.0,4812552.0,vor,-0.8730389930983691
C1.5,2017-07-06,BIRD,487620.0,4812552.0,vor,6.367586195626091
C1.5,2018-06-18,BIRD,487620.0,4812552.0,vor,67.90395855409872
C1.5,2019-06-13,BIRD,487620.0,4812552.0,vor,131.07330630540574
C1.6,2015-07-23,BIRD,487796.0,4812375.0,vor,20.110342387838624
C1.6,2016-06-29,BIRD,487796.0,4812375.0,vor,0.9468394202813375
C1.6,2017-07-06,BIRD,487796.0,4812375.0,vor,34.867895554672266
C1.6,2017-08-08,PDOG,487791.38,4812356.02,clip,80.14864
C1.6,2018-06-18,BIRD,487796.0,4812375.0,vor,120.6828502361127
C1.6,2019-06-13,BIRD,487796.0,4812375.0,vor,145.38184665135057
C1.7,2015-07-23,BIRD,487973.0,4812198.0,vor,79.8869155681311
C1.7,2016-06-29,BIRD,487973.0,4812198.0,vor,18.75647963827079
C1.7,2017-07-06,BIRD,487973.0,4812198.0,vor,28.59638900411093
C1.7,2018-06-18,BIRD,487973.0,4812198.0,vor,195.72080290941358
C1.7,2019-06-13,BIRD,487973.0,4812198.0,vor,211.05970403136712
C1.8,2015-07-23,BIRD,488150.0,4812021.0,vor,90.27383601130086
C1.8,2016-06-29,BIRD,488150.0,4812021.0,vor,378.162308206099
C1.8,2017-07-06,BIRD,488150.0,4812021.0,vor,487.30195793817376
C10.1,2015-07-12,BIRD,499854.0,4819233.0,vor,40.2468966203976
C10.1,2016-06-30,BIRD,499854.0,4819233.0,vor,1.9541339151482422
C10.1,2017-06-30,BIRD,499854.0,4819233.0,vor,19.0920740490629
C10.1,2017-08-16,PDOG,499864.725,4819259.32,clip,36.43864000000001
C10.1,2018-07-01,BIRD,499854.0,4819233.0,vor,95.45550746106956
C10.1,2018-07-17,PDOG,499864.725,4819259.32,clip,143.29
C10.1,2019-06-17,BIRD,499854.0,4819233.0,vor,171.5481099760743
C10.1,2019-07-18,PDOG,499864.725,4819259.32,clip,170.81099999999998
C10.1,2021-07-21,PDOG,499864.725,4819259.32,clip,60.916
C10.2,2015-07-12,BIRD,500031.0,4819056.0,vor,47.30373778149414
C10.2,2016-06-30,BIRD,500031.0,4819056.0,vor,-3.080652462547352
C10.2,2017-06-30,BIRD,500031.0,4819056.0,vor,21.21645697973083
C10.2,2018-07-01,BIRD,500031.0,4819056.0,vor,78.34471472370291
C10.2,2019-06-17,BIRD,500031.0,4819056.0,vor,72.46821681439809
C10.3,2015-07-12,BIRD,500208.0,4818880.0,vor,13.536101553468702
C10.3,2016-06-30,BIRD,500208.0,4818880.0,vor,-4.954007649038157
C10.3,2017-06-30,BIRD,500208.0,4818880.0,vor,29.32632637823762
C10.3,2018-07-01,BIRD,500208.0,4818880.0,vor,76.94182071493033
C10.3,2019-06-17,BIRD,500208.0,4818880.0,vor,101.82020780084198
C10.4,2015-07-12,BIRD,500385.0,4818703.0,vor,3.4847755210910663
C10.4,2016-06-30,BIRD,500385.0,4818703.0,vor,-8.927167319686573
C10.4,2017-06-30,BIRD,500385.0,4818703.0,vor,12.252472462842714
C10.4,2018-07-01,BIRD,500385.0,4818703.0,vor,45.75080120261902
C10.4,2019-06-17,BIRD,500385.0,4818703.0,vor,87.46804799375573
C10.5,2015-07-12,BIRD,500561.0,4818526.0,vor,8.741438054664867
C10.5,2016-06-30,BIRD,500561.0,4818526.0,vor,-6.413882397291541
C10.5,2017-06-30,BIRD,500561.0,4818526.0,vor,11.193621317093594
C10.5,2018-07-01,BIRD,500561.0,4818526.0,vor,104.69633783620733
C10.5,2019-06-17,BIRD,500561.0,4818526.0,vor,142.6348071863479
C10.6,2015-07-12,BIRD,500738.0,4818349.0,vor,8.054006701817995
C10.6,2016-06-30,BIRD,500738.0,4818349.0,vor,8.809978032631076
C10.6,2017-06-30,BIRD,500738.0,4818349.0,vor,13.941704369718838
C10.6,2017-08-16,PDOG,500734.67,4818331.285,clip,36.20864
C10.6,2018-07-01,BIRD,500738.0,4818349.0,vor,154.8087483363318
C10.6,2018-07-16,PDOG,500734.67,4818331.285,clip,307.92
C10.6,2019-06-19,BIRD,500738.0,4818349.0,vor,228.83323713808664
C10.6,2019-07-18,PDOG,500734.67,4818331.285,clip,293.78
C10.6,2019-07-19,PDOG,500734.67,4818331.285,clip,246.596
C10.6,2021-07-21,PDOG,500734.67,4818331.285,clip,73.565
C10.7,2015-07-15,BIRD,500915.0,4818173.0,vor,33.16562018483786
C10.7,2016-06-30,BIRD,500915.0,4818173.0,vor,1.4845703346777643
C10.7,2017-06-30,BIRD,500915.0,4818173.0,vor,16.82170364356964
C10.7,2018-07-01,BIRD,500915.0,4818173.0,vor,181.21420717527064
C10.7,2019-06-17,BIRD,500915.0,4818173.0,vor,266.0993839375411
C10.8,2015-07-17,BIRD,501092.0,4817996.0,vor,30.19835194154442
C10.8,2016-06-30,BIRD,501092.0,4817996.0,vor,-14.0225870593334
C10.8,2017-06-30,BIRD,501092.0,4817996.0,vor,5.872289469056927
C10.8,2018-07-01,BIRD,501092.0,4817996.0,vor,141.24704226897637
C10.8,2019-06-17,BIRD,501092.0,4817996.0,vor,197.23969818144968
C2.1,2015-06-15,BIRD,488897.0,4812373.0,vor,20.471390514203105
C2.1,2016-08-08,BIRD,488897.0,4812373.0,vor,-4.749271621670353
C2.1,2017-07-06,BIRD,488897.0,4812373.0,vor,23.602556677247367
C2.1,2017-08-08,PDOG,488905.585,4812358.095,clip,63.82198
C2.1,2018-07-01,BIRD,488897.0,4812373.0,vor,199.91396523125334
C2.1,2019-07-24,BIRD,488897.0,4812373.0,vor,101.53491349036099
C2.2,2015-06-15,BIRD,489147.0,4812373.0,vor,5.740016835183298
C2.2,2016-08-08,BIRD,489147.0,4812373.0,vor,-15.085891964528976
C2.2,2017-07-06,BIRD,489147.0,4812373.0,vor,13.56459192320911
C2.2,2018-07-01,BIRD,489147.0,4812373.0,vor,125.8863314164521
C2.2,2019-07-24,BIRD,489147.0,4812373.0,vor,76.12464441852076
C2.3,2015-06-15,BIRD,489397.0,4812373.0,vor,-15.669841863830332
C2.3,2016-08-08,BIRD,489397.0,4812373.0,vor,9.295784144364195
C2.3,2017-07-06,BIRD,489397.0,4812373.0,vor,13.638469567152603
C2.3,2018-07-01,BIRD,489397.0,4812373.0,vor,93.17668860334496
C2.3,2019-07-24,BIRD,489397.0,4812373.0,vor,59.122900334007696
C2.4,2015-06-15,BIRD,489647.0,4812373.0,vor,2.6088506721390363
C2.4,2016-08-08,BIRD,489647.0,4812373.0,vor,0.19249279182043644
C2.4,2017-07-06,BIRD,489647.0,4812373.0,vor,45.517574805510804
C2.4,2018-07-01,BIRD,489647.0,4812373.0,vor,87.25663132721823
C2.4,2019-07-24,BIRD,489647.0,4812373.0,vor,78.86814825740014
C2.5,2015-06-15,BIRD,489897.0,4812373.0,vor,48.46758248481964
C2.5,2016-08-08,BIRD,489897.0,4812373.0,vor,-5.333221520971707
C2.5,2017-07-06,BIRD,489897.0,4812373.0,vor,15.178902598519171
C2.5,2018-07-01,BIRD,489897.0,4812373.0,vor,80.33647145788487
C2.5,2019-07-24,BIRD,489897.0,4812373.0,vor,67.1237210796609
C2.6,2015-06-15,BIRD,490147.0,4812373.0,vor,-4.289499466623619
C2.6,2016-08-08,BIRD,490147.0,4812373.0,vor,54.285271747262456
C2.6,2017-07-06,BIRD,490147.0,4812373.0,vor,58.58433770890944
C2.6,2018-07-01,BIRD,490147.0,4812373.0,vor,139.85259671243512
C2.6,2019-07-24,BIRD,490147.0,4812373.0,vor,172.57913643000495
C2.7,2015-06-15,BIRD,490397.0,4812373.0,vor,-3.997524516972943
C2.7,2016-08-08,BIRD,490397.0,4812373.0,vor,-4.839518024577096
C2.7,2017-07-06,BIRD,490397.0,4812373.0,vor,7.119333300323499
C2.7,2017-08-08,PDOG,490406.685,4812356.03,clip,62.79198
C2.7,2018-07-01,BIRD,490397.0,4812373.0,vor,43.648575865062675
C2.7,2018-07-19,PDOG,490406.685,4812356.03,clip,55.336
C2.7,2019-07-17,PDOG,490406.685,4812356.03,clip,85.19800000000001
C2.7,2019-07-24,BIRD,490397.0,4812373.0,vor,2.99785860232651
C2.7,2021-07-19,PDOG,490406.685,4812356.03,clip,44.73
