ID,Date,Project,gps_E,gps_N,Method,bm_gm2
1937-l-in,2015-07-15,FIRE,476873.48744828114,4791805.441749999,clip,152.9565
1974-l-in,2015-07-20,FIRE,485662.43594999984,4786828.4982,clip,151.54000000000002
1974-l-out,2015-07-20,FIRE,485729.5253999997,4787083.9599,clip,99.4995
1nw01,2017-08-15,PDOG,494355.94,4817649.19,clip,58.32
2duchardtE24,2017-08-15,PDOG,493635.55,4818169.67,clip,58.66
35mm-l-in,2015-08-04,FIRE,510876.1619895001,4835577.1433850005,clip,100.5932
35mm-ss-in,2015-08-05,FIRE,513198.76993,4832818.621705,clip,151.2928
35mm-ss-out,2015-08-05,FIRE,513582.01244672143,4832943.600727814,clip,100.8709
A1.1,2021-07-22,PDOG,495496.0,4817822.0,clip,38.922
A1.1,2022-07-19,PDOG,495495.0,4817818.4,clip,72.785
A1.1,2023-04-27,PDOG,495495.0,4817824.0,vor,3.4033017029020787
A1.1,2023-07-17,PDOG,495495.0,4817819.0,vor,96.1474067269724
A1.1,2024-07-15,PDOG,495494.0,4817832.0,vor,108.54256850165216
A2.1,2021-07-22,PDOG,495537.0,4811122.0,clip,24.663
A2.1,2022-07-14,PDOG,495537.68,4811127.1,clip,49.036
A2.1,2023-04-26,PDOG,495539.0,4811131.0,vor,15.346893632254305
A2.1,2023-07-24,PDOG,495535.5,4811122.22,vor,104.18533049831623
A2.1,2024-07-17,PDOG,495536.92,4811124.24,vor,117.27812223019774
A3.1,2021-07-22,PDOG,502073.0,4802254.0,clip,37.175
A3.1,2022-07-20,PDOG,502077.56,4802243.35,clip,74.1
A3.1,2023-04-25,PDOG,502078.0,4902249.0,vor,5.582295796076585
A3.1,2023-07-20,PDOG,502075.47,4802250.14,vor,87.32230705909129
A3.1,2024-07-16,PDOG,502075.45,4802244.13,vor,65.19660550250146
C1.1,2015-07-23,BIRD,486913.0,4813259.0,vor,24.069596987285834
C1.1,2016-06-29,BIRD,486913.0,4813259.0,vor,34.16142721793613
C1.1,2017-07-06,BIRD,486913.0,4813259.0,vor,70.54848279753757
C1.1,2018-06-18,BIRD,486913.0,4813259.0,vor,124.03741362713261
C1.1,2019-06-13,BIRD,486913.0,4813259.0,vor,154.7427118312818
C1.2,2015-07-23,BIRD,487089.0,4813082.0,vor,225.8857003859132
C1.2,2016-06-29,BIRD,487089.0,4813082.0,vor,140.42795277432432
C1.2,2017-07-06,BIRD,487089.0,4813082.0,vor,191.868156319146
C1.2,2017-08-08,PDOG,487102.76,4813082.39,clip,35.73864
C1.2,2018-06-18,BIRD,487089.0,4813082.0,vor,219.0588818860677
C1.2,2019-06-13,BIRD,487089.0,4813082.0,vor,163.8686413464774
C1.3,2015-07-23,BIRD,487266.0,4812905.0,vor,66.67294492372702
C1.3,2016-06-29,BIRD,487266.0,4812905.0,vor,26.081457652504593
C1.3,2017-07-06,BIRD,487266.0,4812905.0,vor,40.219344212813624
C1.3,2018-06-18,BIRD,487266.0,4812905.0,vor,85.72289999841
C1.3,2019-06-13,BIRD,487266.0,4812905.0,vor,100.0161115621719
C1.4,2015-07-23,BIRD,487443.0,4812728.0,vor,48.605551504992796
C1.4,2016-06-29,BIRD,487443.0,4812728.0,vor,17.738063624517547
C1.4,2017-07-06,BIRD,487443.0,4812728.0,vor,58.201026728400315
C1.4,2018-06-18,BIRD,487443.0,4812728.0,vor,95.54108186890271
C1.4,2019-06-13,BIRD,487443.0,4812728.0,vor,92.80862320365922
C1.5,2015-07-23,BIRD,487620.0,4812552.0,vor,45.4195770290782
C1.5,2016-06-29,BIRD,487620.0,4812552.0,vor,19.078802916222447
C1.5,2017-07-06,BIRD,487620.0,4812552.0,vor,28.08426467252899
C1.5,2018-06-18,BIRD,487620.0,4812552.0,vor,95.15026033237457
C1.5,2019-06-13,BIRD,487620.0,4812552.0,vor,143.70431484464748
C1.6,2015-07-23,BIRD,487796.0,4812375.0,vor,38.954584899387584
C1.6,2016-06-29,BIRD,487796.0,4812375.0,vor,21.128972370920756
C1.6,2017-07-06,BIRD,487796.0,4812375.0,vor,58.80373234107813
C1.6,2017-08-08,PDOG,487787.82,4812352.0,clip,80.14864
C1.6,2018-06-18,BIRD,487796.0,4812375.0,vor,148.15978221412146
C1.6,2019-06-13,BIRD,487796.0,4812375.0,vor,151.5645121157071
C1.7,2015-07-23,BIRD,487973.0,4812198.0,vor,89.12417109811331
C1.7,2016-06-29,BIRD,487973.0,4812198.0,vor,38.05039687444721
C1.7,2017-07-06,BIRD,487973.0,4812198.0,vor,49.789583814350195
C1.7,2018-06-18,BIRD,487973.0,4812198.0,vor,209.46801073302652
C1.7,2019-06-13,BIRD,487973.0,4812198.0,vor,209.99143415600943
C1.8,2015-07-23,BIRD,488150.0,4812021.0,vor,106.42241236778487
C1.8,2016-06-29,BIRD,488150.0,4812021.0,vor,367.7206496848271
C1.8,2017-07-06,BIRD,488150.0,4812021.0,vor,439.3857407126582
C10.1,2015-07-12,BIRD,499854.0,4819233.0,vor,61.95744007149057
C10.1,2016-06-30,BIRD,499854.0,4819233.0,vor,23.148922733925467
C10.1,2017-06-30,BIRD,499854.0,4819233.0,vor,39.58431041594479
C10.1,2017-08-16,PDOG,499868.4,4819262.6,clip,36.43864000000001
C10.1,2018-07-01,BIRD,499854.0,4819233.0,vor,118.83776205437889
C10.1,2018-07-17,PDOG,499866.0,4819249.0,clip,143.29
C10.1,2019-06-17,BIRD,499854.0,4819233.0,vor,185.45675892874897
C10.1,2019-07-18,PDOG,499864.0,4819241.0,clip,170.81099999999998
C10.1,2021-07-21,PDOG,499882.0,4819273.0,clip,60.916
C10.1,2022-07-18,PDOG,499879.25,4819261.13,clip,91.688
C10.1,2023-04-30,PDOG,499878.0,4819265.0,vor,32.1990121373516
C10.1,2023-07-19,PDOG,499866.0,4819232.0,vor,92.14403561705441
C10.1,2024-07-17,PDOG,499875.0,4819245.0,vor,46.71935200854412
C10.2,2015-07-12,BIRD,500031.0,4819056.0,vor,69.72156209076674
C10.2,2016-06-30,BIRD,500031.0,4819056.0,vor,17.38294668972348
C10.2,2017-06-30,BIRD,500031.0,4819056.0,vor,41.04288896416373
C10.2,2018-07-01,BIRD,500031.0,4819056.0,vor,101.21202737212177
C10.2,2019-06-17,BIRD,500031.0,4819056.0,vor,99.27026689566715
C10.3,2015-07-12,BIRD,500208.0,4818880.0,vor,36.10754886172828
C10.3,2016-06-30,BIRD,500208.0,4818880.0,vor,15.740976185935276
C10.3,2017-06-30,BIRD,500208.0,4818880.0,vor,50.764922351757846
C10.3,2018-07-01,BIRD,500208.0,4818880.0,vor,104.07916903132349
C10.3,2019-06-17,BIRD,500208.0,4818880.0,vor,128.35386636597005
C10.4,2015-07-12,BIRD,500385.0,4818703.0,vor,24.457111250848374
C10.4,2016-06-30,BIRD,500385.0,4818703.0,vor,11.190475529917338
C10.4,2017-06-30,BIRD,500385.0,4818703.0,vor,30.091994377978036
C10.4,2018-07-01,BIRD,500385.0,4818703.0,vor,68.38966405199388
C10.4,2019-06-17,BIRD,500385.0,4818703.0,vor,115.32144295880741
C10.5,2015-07-12,BIRD,500561.0,4818526.0,vor,30.851779089306177
C10.5,2016-06-30,BIRD,500561.0,4818526.0,vor,14.08919226211905
C10.5,2017-06-30,BIRD,500561.0,4818526.0,vor,31.535122884488338
C10.5,2018-07-01,BIRD,500561.0,4818526.0,vor,131.3250322115571
C10.5,2019-06-17,BIRD,500561.0,4818526.0,vor,164.76715091720015
C10.6,2015-07-12,BIRD,500738.0,4818349.0,vor,30.10734268370209
C10.6,2016-06-30,BIRD,500738.0,4818349.0,vor,30.134623091586743
C10.6,2017-06-30,BIRD,500738.0,4818349.0,vor,34.52143670014486
C10.6,2017-08-16,PDOG,500738.23,4818334.77,clip,36.20864
C10.6,2018-07-01,BIRD,500738.0,4818349.0,vor,185.70022952240598
C10.6,2018-07-16,PDOG,500750.0,4818337.0,clip,307.92
C10.6,2019-06-19,BIRD,500738.0,4818349.0,vor,240.93708303150493
C10.6,2019-07-18,PDOG,500732.0,4818317.0,clip,293.78
C10.6,2019-07-19,PDOG,500732.0,4818317.0,clip,246.596
C10.6,2021-07-21,PDOG,500721.0,4818331.0,clip,73.565
C10.6,2022-07-18,PDOG,500722.29,4818309.39,clip,113.109
C10.6,2023-04-28,PDOG,500733.0,4818319.0,vor,19.09311599264488
C10.6,2023-07-19,PDOG,500731.0,4818330.0,vor,104.82237939228601
C10.6,2024-07-17,PDOG,500730.0,4818353.0,vor,62.0186906226062
C10.7,2015-07-15,BIRD,500915.0,4818173.0,vor,56.34109682138071
C10.7,2016-06-30,BIRD,500915.0,4818173.0,vor,22.503668897339953
C10.7,2017-06-30,BIRD,500915.0,4818173.0,vor,37.837209584197694
C10.7,2018-07-01,BIRD,500915.0,4818173.0,vor,205.2885138135307
C10.7,2019-06-17,BIRD,500915.0,4818173.0,vor,262.7242842185335
C10.8,2015-07-17,BIRD,501092.0,4817996.0,vor,53.683157596792576
C10.8,2016-06-30,BIRD,501092.0,4817996.0,vor,5.483320954291776
C10.8,2017-06-30,BIRD,501092.0,4817996.0,vor,24.315689782786468
C10.8,2018-07-01,BIRD,501092.0,4817996.0,vor,167.10371663727437
C10.8,2019-06-17,BIRD,501092.0,4817996.0,vor,207.25367127465526
C2.1,2015-06-15,BIRD,488897.0,4812373.0,vor,42.55438171822041
C2.1,2016-08-08,BIRD,488897.0,4812373.0,vor,15.093684695341372
C2.1,2017-07-06,BIRD,488897.0,4812373.0,vor,46.93007916449634
C2.1,2017-08-08,PDOG,488905.93,4812362.88,clip,63.82198
C2.1,2018-07-01,BIRD,488897.0,4812373.0,vor,233.35057311395244
C2.1,2019-07-24,BIRD,488897.0,4812373.0,vor,129.76702701611194
C2.2,2015-06-15,BIRD,489147.0,4812373.0,vor,27.564500527875456
C2.2,2016-08-08,BIRD,489147.0,4812373.0,vor,4.207978716792591
C2.2,2017-07-06,BIRD,489147.0,4812373.0,vor,34.43758625588439
C2.2,2018-07-01,BIRD,489147.0,4812373.0,vor,156.72924090743356
C2.2,2019-07-24,BIRD,489147.0,4812373.0,vor,102.30598592387655
C2.3,2015-06-15,BIRD,489397.0,4812373.0,vor,3.4024966647986257
C2.3,2016-08-08,BIRD,489397.0,4812373.0,vor,28.853141381243606
C2.3,2017-07-06,BIRD,489397.0,4812373.0,vor,36.064468983597585
C2.3,2018-07-01,BIRD,489397.0,4812373.0,vor,120.8999164204253
C2.3,2019-07-24,BIRD,489397.0,4812373.0,vor,85.3952577324928
C2.4,2015-06-15,BIRD,489647.0,4812373.0,vor,23.335733615197423
C2.4,2016-08-08,BIRD,489647.0,4812373.0,vor,21.151922218412494
C2.4,2017-07-06,BIRD,489647.0,4812373.0,vor,66.38906935349868
C2.4,2018-07-01,BIRD,489647.0,4812373.0,vor,114.50275429107494
C2.4,2019-07-24,BIRD,489647.0,4812373.0,vor,106.98135564598813
