ID,Date,Project,gps_E,gps_N,Method,bm_gm2,geometry,index_right,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,OBJECTID,mukey_1,comppct_r,CONFIDENCE,AVG_SAND,AVG_SILT,AVG_CLAY,texcl
1937-l-in,2015-07-15,FIRE,476873.48744828114,4791805.441749999,clip,152.9565,POINT (476873.48744828114 4791805.441749999),59103,WY709,9,114,351492,85878,351492,100.0,R,38.6052631579,33.6450657895,27.7496710526,clay loam
1974-l-in,2015-07-20,FIRE,485662.43594999984,4786828.4982,clip,151.54000000000002,POINT (485662.43594999984 4786828.4982),60836,WY709,9,122,351500,85885,351500,100.0,R,62.4320607897,15.3941166186,22.1738225917,sandy clay loam
1974-l-out,2015-07-20,FIRE,485729.5253999997,4787083.9599,clip,99.4995,POINT (485729.5253999997 4787083.9599),60836,WY709,9,122,351500,85885,351500,100.0,R,62.4320607897,15.3941166186,22.1738225917,sandy clay loam
West_Weiss_Pt26_No,2020-06-01,WTGN,484547.781,4788636.63,clip,77.52000000000001,POINT (484547.781 4788636.63),60836,WY709,9,122,351500,85885,351500,100.0,R,62.4320607897,15.3941166186,22.1738225917,sandy clay loam
West_Weiss_Pt3_No,2020-06-01,WTGN,484697.781,4788456.63,clip,133.38,POINT (484697.781 4788456.63),60836,WY709,9,122,351500,85885,351500,100.0,R,62.4320607897,15.3941166186,22.1738225917,sandy clay loam
West_Weiss_Pt3_No,2020-06-02,WTGN,484697.781,4788456.63,vor,159.85975670921465,POINT (484697.781 4788456.63),60836,WY709,9,122,351500,85885,351500,100.0,R,62.4320607897,15.3941166186,22.1738225917,sandy clay loam
West_Weiss_Pt3_No,2020-07-07,WTGN,484697.781,4788456.63,vor,84.89568167985726,POINT (484697.781 4788456.63),60836,WY709,9,122,351500,85885,351500,100.0,R,62.4320607897,15.3941166186,22.1738225917,sandy clay loam
West_Weiss_Pt5_No,2020-06-01,WTGN,484847.781,4789056.63,clip,65.22,POINT (484847.781 4789056.63),60836,WY709,9,122,351500,85885,351500,100.0,R,62.4320607897,15.3941166186,22.1738225917,sandy clay loam
1nw01,2017-08-15,PDOG,494356.295,4817504.255,clip,58.32,POINT (494356.295 4817504.255),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
2duchardtE24,2017-08-15,PDOG,493635.375,4818164.66,clip,58.66,POINT (493635.375 4818164.66),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.3,2015-07-25,BIRD,493549.0,4818265.0,vor,124.2581231525285,POINT (493549 4818265),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.3,2016-08-04,BIRD,493549.0,4818265.0,vor,49.91856682757627,POINT (493549 4818265),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.3,2017-07-09,BIRD,493549.0,4818265.0,vor,97.93984859942356,POINT (493549 4818265),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.3,2018-07-01,BIRD,493549.0,4818265.0,vor,144.58092999959982,POINT (493549 4818265),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.3,2019-06-12,BIRD,493549.0,4818265.0,vor,168.1877234134286,POINT (493549 4818265),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.4,2015-07-24,BIRD,493736.0,4818100.0,vor,147.57657159983867,POINT (493736 4818100),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.4,2016-08-04,BIRD,493736.0,4818100.0,vor,22.321195044825085,POINT (493736 4818100),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.4,2017-07-09,BIRD,493736.0,4818100.0,vor,-18.399984424370324,POINT (493736 4818100),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.4,2018-07-01,BIRD,493736.0,4818100.0,vor,262.2309656772407,POINT (493736 4818100),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.4,2019-06-12,BIRD,493736.0,4818100.0,vor,169.0887983125362,POINT (493736 4818100),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.5,2015-07-25,BIRD,493923.0,4817934.0,vor,62.51931889002388,POINT (493923 4817934),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.5,2016-08-04,BIRD,493923.0,4817934.0,vor,-9.771594318274326,POINT (493923 4817934),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.5,2017-07-09,BIRD,493923.0,4817934.0,vor,10.193518723886946,POINT (493923 4817934),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.5,2018-07-01,BIRD,493923.0,4817934.0,vor,176.28757185318088,POINT (493923 4817934),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.5,2019-06-12,BIRD,493923.0,4817934.0,vor,80.22074216586158,POINT (493923 4817934),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.6,2015-07-02,BIRD,494110.0,4817768.0,vor,45.19710948611973,POINT (494110 4817768),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.6,2016-08-04,BIRD,494110.0,4817768.0,vor,-11.939596710083686,POINT (494110 4817768),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.6,2017-07-09,BIRD,494110.0,4817768.0,vor,9.273974413793477,POINT (494110 4817768),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
