index,model,numb_vars,formula,xv,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,Temporal,1,np.log(bm) ~ dfi,simp,0.0228,0.0225,11506.8792,788.4476,328.7142,25.9575,1.1063,0.2331,1.5014,561.9715,264.1332,1.3502,0.5263,1.8114,0.7582,0.3454,0.2321,241.3951,0.8814,32.4904,982.9439,0.7729,0.1599,1.0586
1,Temporal,1,np.log(bm) ~ ndvi,simp,0.2844,0.2841,10639.0788,916.9521,494.0285,10.0319,1.2597,0.3421,1.6911,577.611,289.3345,1.1975,0.4505,1.556,0.6253,0.2977,0.1937,434.6199,1.3313,12.8354,1196.2702,0.7795,0.1406,0.9806
2,Temporal,1,np.log(bm) ~ ndti,simp,0.37,0.3697,10284.2368,1250.3165,1159.3444,8.4051,1.5502,0.8794,3.1374,714.1796,636.9458,1.1111,0.3964,1.4711,0.5713,0.2804,0.18,663.9408,1.9379,11.0122,2187.9821,0.8677,0.4214,1.7934
3,Temporal,1,np.log(bm) ~ satvi,simp,0.3343,0.3341,10437.6129,696.163,215.4987,8.9514,1.0175,0.2505,1.3929,482.1814,188.2516,1.109,0.4176,1.4789,0.6035,0.283,0.185,402.1681,1.2628,11.6181,747.3948,0.667,0.0894,0.7788
4,Temporal,1,np.log(bm) ~ ndii7,simp,0.2153,0.215,10895.7389,864.3175,352.4388,13.4519,1.2178,0.2772,1.6741,553.4274,205.0666,1.2573,0.4517,1.6591,0.642,0.3165,0.2017,429.4669,1.346,17.1815,900.5977,0.7681,0.0942,0.9038
5,Temporal,1,np.log(bm) ~ nir,simp,0.2699,0.2697,10694.6662,706.2387,210.3631,14.1761,1.027,0.2233,1.3155,484.2171,171.6654,1.1595,0.4397,1.5672,0.6577,0.3006,0.2016,380.2332,1.2393,18.5695,726.8266,0.6772,0.091,0.7767
6,Temporal,1,np.log(bm) ~ swir1,simp,0.4134,0.4132,10085.0798,760.283,343.7693,8.0033,1.0777,0.2505,1.3506,499.1457,231.307,1.0962,0.4176,1.4393,0.5774,0.2751,0.1763,457.0662,1.378,10.8322,998.8718,0.6818,0.106,0.8188
7,Temporal,1,np.log(bm) ~ swir2,simp,0.4547,0.4545,9881.6803,776.1353,402.4438,6.8333,1.0862,0.2865,1.4044,515.2748,290.2764,1.0488,0.3858,1.3765,0.5404,0.2632,0.1679,480.3243,1.4396,9.3782,1174.1834,0.6873,0.1444,0.9625
8,Temporal,1,np.log(bm) ~ bai_126,simp,0.0838,0.0834,11327.5639,760.1919,279.1001,22.3351,1.0841,0.2317,1.4513,541.0927,223.7576,1.2951,0.4783,1.7261,0.7446,0.3313,0.2281,290.2601,1.038,27.6479,870.7348,0.7522,0.1321,0.9617
9,Temporal,1,np.log(bm) ~ bai_136,simp,0.2668,0.2665,10706.814,736.1377,234.3786,11.8272,1.0658,0.2193,1.4299,514.8865,204.9854,1.1897,0.4194,1.5687,0.6311,0.3005,0.1979,397.8518,1.237,15.1713,917.2278,0.7109,0.0766,0.8014
10,Temporal,1,np.log(bm) ~ bai_236,simp,0.2609,0.2606,10728.9799,859.2971,425.7034,11.0834,1.1902,0.2602,1.5026,587.0042,322.6115,1.2427,0.453,1.6055,0.6274,0.3059,0.1948,431.3332,1.2954,14.3242,1306.5182,0.7803,0.1435,1.0709
11,Temporal,1,np.log(bm) ~ bai_246,simp,0.0798,0.0795,11339.5558,773.414,249.7977,21.2893,1.1111,0.207,1.482,558.8017,202.4099,1.3453,0.4479,1.771,0.6929,0.3383,0.2203,289.1904,1.0097,26.6854,885.6229,0.785,0.1041,0.9743
12,Temporal,2,np.log(bm) ~ dfi + ndvi + dfi:ndvi,simp,0.4378,0.4371,9971.0375,889.7162,578.6101,6.814,1.1904,0.3851,1.8037,570.7891,362.7883,1.0602,0.3748,1.3986,0.5205,0.2662,0.1652,514.9477,1.5339,9.2755,1369.6392,0.7366,0.1889,1.1227
13,Temporal,2,np.log(bm) ~ dfi + ndti + dfi:ndti,simp,0.3806,0.3799,10240.9537,1587.3039,2043.1363,8.6677,1.7986,1.5178,5.3226,765.5617,782.4407,1.1083,0.3945,1.4794,0.5608,0.2813,0.1773,610.7294,1.7899,11.3954,2616.9226,0.9014,0.5342,2.145
14,Temporal,2,np.log(bm) ~ dfi + satvi + dfi:satvi,simp,0.3834,0.3828,10227.9514,740.3212,292.7197,8.6895,1.0513,0.2436,1.3636,496.1421,226.7043,1.0824,0.3845,1.4533,0.5619,0.2769,0.1743,376.156,1.1891,11.5465,878.7878,0.6698,0.0924,0.7697
15,Temporal,2,np.log(bm) ~ dfi + ndii7 + dfi:ndii7,simp,0.346,0.3453,10392.121,1445.1662,1654.6566,10.5296,1.6923,1.2003,4.414,630.913,427.7637,1.1157,0.3963,1.5107,0.5615,0.2873,0.1794,581.5853,1.7715,14.098,1568.4779,0.8046,0.2395,1.2856
16,Temporal,2,np.log(bm) ~ dfi + nir + dfi:nir,simp,0.2902,0.2895,10620.1154,698.0567,195.4129,13.657,1.019,0.2186,1.3516,476.2732,161.9251,1.1577,0.437,1.5559,0.6594,0.2987,0.2013,343.397,1.1164,17.7928,694.7936,0.6681,0.0775,0.758
17,Temporal,2,np.log(bm) ~ dfi + swir1 + dfi:swir1,simp,0.4673,0.4667,9820.886,699.9169,312.7037,7.8198,0.998,0.2597,1.3573,447.5285,198.0143,1.0059,0.4141,1.3588,0.5721,0.2611,0.1719,399.3618,1.2264,10.8924,867.9358,0.6149,0.0977,0.7642
18,Temporal,2,np.log(bm) ~ dfi + swir2 + dfi:swir2,simp,0.4793,0.4787,9757.1433,707.6616,327.046,7.0166,1.0049,0.2692,1.357,462.917,230.3585,0.9977,0.4004,1.3414,0.5501,0.2572,0.1669,415.7991,1.2667,9.7805,959.4547,0.6262,0.1118,0.7864
19,Temporal,2,np.log(bm) ~ dfi + bai_126 + dfi:bai_126,simp,0.1039,0.103,11269.5,765.2352,287.1483,22.7117,1.0894,0.2374,1.5008,545.1582,231.0594,1.3129,0.4821,1.7524,0.7287,0.3349,0.2247,285.3899,1.0325,28.3128,891.873,0.7553,0.1332,0.9883
20,Temporal,2,np.log(bm) ~ dfi + bai_136 + dfi:bai_136,simp,0.3534,0.3527,10360.6113,837.6338,470.8291,10.3846,1.1427,0.3018,1.5502,542.947,306.5869,1.1227,0.4005,1.5061,0.5917,0.2874,0.1841,432.5348,1.3432,13.8169,1197.6087,0.716,0.147,0.9817
21,Temporal,2,np.log(bm) ~ dfi + bai_236 + dfi:bai_236,simp,0.3965,0.3959,10168.1713,920.8754,649.5568,8.5437,1.2145,0.411,1.9985,599.7605,433.6497,1.1104,0.3808,1.4732,0.5406,0.28,0.1715,512.1064,1.5295,11.7152,1590.9463,0.7598,0.2391,1.3041
22,Temporal,2,np.log(bm) ~ dfi + bai_246 + dfi:bai_246,simp,0.223,0.2222,10872.278,983.2335,587.1607,15.0785,1.3796,0.6987,3.0307,597.704,252.8648,1.2592,0.4035,1.6925,0.5859,0.3195,0.1908,661.5372,2.0824,19.9073,887.3493,0.8155,0.1582,1.1707
23,Temporal,2,np.log(bm) ~ ndvi + satvi + ndvi:satvi,simp,0.3939,0.3932,10180.2731,632.8493,150.1066,6.8376,0.9502,0.2726,1.4347,433.4968,136.5754,1.0432,0.4333,1.3823,0.5758,0.2654,0.1745,307.9825,1.0083,9.1769,628.8742,0.6178,0.0914,0.755
24,Temporal,2,np.log(bm) ~ ndvi + nir + ndvi:nir,simp,0.4311,0.4305,10003.8652,698.8569,247.7121,7.5426,1.0296,0.3272,1.5433,446.791,156.5707,1.0228,0.4037,1.3714,0.5745,0.2634,0.1736,406.1758,1.2876,10.2599,640.8899,0.6292,0.1144,0.8367
25,Temporal,2,np.log(bm) ~ ndvi + bai_126 + ndvi:bai_126,simp,0.3076,0.3069,10551.1333,795.7791,324.4577,9.8097,1.131,0.266,1.4352,521.5084,210.3566,1.1585,0.432,1.5121,0.6204,0.2901,0.1925,400.2133,1.243,12.5332,923.3917,0.7205,0.0993,0.8531
26,Temporal,2,np.log(bm) ~ ndvi + bai_246 + ndvi:bai_246,simp,0.3307,0.33,10456.5264,844.4705,520.2352,9.1175,1.1531,0.3336,1.7164,555.8444,333.7882,1.1608,0.4356,1.5151,0.6003,0.2896,0.1873,461.6771,1.3644,11.8543,1328.3745,0.7372,0.1687,1.0888
27,Temporal,2,np.log(bm) ~ ndti + ndii7 + ndti:ndii7,simp,0.4638,0.4632,9838.8211,676.8925,189.4126,6.1406,0.9955,0.24,1.3608,461.1576,171.0796,1.0201,0.3832,1.3581,0.5021,0.2586,0.1582,445.9834,1.3547,8.6444,760.4932,0.64,0.063,0.7447
28,Temporal,2,np.log(bm) ~ ndti + nir + ndti:nir,simp,0.4464,0.4458,9927.9991,770.4719,356.6561,7.5627,1.0891,0.358,1.7363,476.5608,210.8028,1.0201,0.3947,1.3776,0.5641,0.264,0.1715,454.9743,1.4121,10.3256,786.4969,0.6477,0.1239,0.8933
29,Temporal,2,np.log(bm) ~ ndti + bai_126 + ndti:bai_126,simp,0.386,0.3853,10216.4264,1212.0529,1024.9958,8.2427,1.5365,0.8687,3.0272,651.8671,478.9401,1.0922,0.3905,1.4517,0.5692,0.277,0.1786,652.4645,1.932,10.7898,1681.7914,0.8198,0.315,1.3785
30,Temporal,2,np.log(bm) ~ ndti + bai_136 + ndti:bai_136,simp,0.4587,0.4581,9865.3583,734.6571,228.6769,6.1799,1.0707,0.2683,1.4502,481.3158,173.998,1.0354,0.3771,1.3685,0.519,0.2609,0.1619,459.603,1.4123,8.5516,695.9955,0.6663,0.0869,0.8352
