index,model,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,Project,1,np.log(bm) ~ dfi,BIRD,0.0333,0.0328,7708.3859,833.0916,32.6371,23.1712,1.2361,0.0484,1.287,,22.9044,1.5897,0.0444,2.1755,0.0642,0.3985,0.0118,224.2574,0.8799,37.4283,534.4036,567.0596,0.7929,0.034,0.8414
1,Project,1,np.log(bm) ~ ndvi,BIRD,0.3097,0.3093,7117.3755,1167.7202,209.3083,8.3452,1.7327,0.3106,2.3225,,20.8546,1.3733,0.0319,1.8368,0.0419,0.3364,0.0077,398.4623,1.5629,13.3589,559.0497,592.2277,0.8295,0.0309,0.8787
2,Project,1,np.log(bm) ~ ndti,BIRD,0.4057,0.4054,6854.4798,2181.8365,479.3241,5.9087,3.2374,0.7112,4.3658,,59.0324,1.3057,0.042,1.7035,0.0649,0.312,0.0119,527.7122,2.0766,9.2627,730.8344,811.576,1.0844,0.0876,1.2042
3,Project,1,np.log(bm) ~ satvi,BIRD,0.3471,0.3467,7019.6018,743.9241,38.4663,8.6699,1.1038,0.0571,1.1754,,26.5322,1.2986,0.0602,1.7847,0.0724,0.3269,0.0133,325.9454,1.2804,14.0049,447.0002,487.0529,0.6633,0.0394,0.7227
4,Project,1,np.log(bm) ~ ndii7,BIRD,0.2695,0.2691,7216.6754,1358.5602,301.4199,9.6094,2.0158,0.4472,2.7192,,42.9871,1.4057,0.0327,1.8907,0.0255,0.3463,0.0047,535.7084,2.0837,15.4192,571.5734,632.0556,0.8481,0.0638,0.9378
5,Project,1,np.log(bm) ~ nir,BIRD,0.2726,0.2722,7209.2168,721.2782,35.9618,12.182,1.0702,0.0534,1.105,,16.48,1.3349,0.0723,1.8836,0.0896,0.345,0.0164,294.3948,1.1571,19.6882,433.7822,453.0543,0.6436,0.0245,0.6722
6,Project,1,np.log(bm) ~ swir1,BIRD,0.4491,0.4487,6721.6817,900.2049,98.5412,5.4585,1.3357,0.1462,1.6108,,22.2067,1.2222,0.0457,1.6403,0.0558,0.3004,0.0102,370.4498,1.4564,8.7055,483.847,527.8336,0.7179,0.033,0.7832
7,Project,1,np.log(bm) ~ swir2,BIRD,0.4856,0.4853,6601.2919,931.086,74.8316,4.5914,1.3815,0.111,1.6016,,24.4224,1.1908,0.0447,1.5849,0.0564,0.2903,0.0103,383.0833,1.5064,7.29,497.8629,538.6829,0.7387,0.0362,0.7993
8,Project,1,np.log(bm) ~ bai_126,BIRD,0.0572,0.0567,7664.4786,791.5529,32.4412,24.0957,1.1745,0.0481,1.2192,,15.7712,1.5463,0.0588,2.1461,0.0811,0.3931,0.0149,223.9291,0.8792,38.8501,508.0761,531.552,0.7539,0.0234,0.7887
9,Project,1,np.log(bm) ~ bai_136,BIRD,0.2702,0.2697,7215.1513,818.9415,26.756,10.6294,1.2151,0.0397,1.2754,,23.3745,1.3829,0.0454,1.8875,0.0648,0.3457,0.0119,353.755,1.3868,17.1087,493.8736,524.3158,0.7328,0.0347,0.778
10,Project,1,np.log(bm) ~ bai_236,BIRD,0.2888,0.2884,7169.7939,983.8974,17.5801,8.8628,1.4599,0.0261,1.4901,,18.6344,1.4061,0.0214,1.8645,0.0407,0.3415,0.0074,433.7545,1.7032,14.2295,562.4991,591.4695,0.8346,0.0276,0.8776
11,Project,1,np.log(bm) ~ bai_246,BIRD,0.1081,0.1075,7567.1826,775.171,33.4984,17.3326,1.1502,0.0497,1.2082,,22.7448,1.5476,0.0307,2.0898,0.0361,0.3828,0.0066,283.0962,1.1101,28.0334,507.3506,543.5945,0.7528,0.0337,0.8066
12,Project,2,np.log(bm) ~ dfi + ndvi + dfi:ndvi,BIRD,0.4785,0.4776,6629.3464,976.9885,192.0084,4.9802,1.4496,0.2849,2.0175,,39.7761,1.2092,0.042,1.5969,0.0689,0.2925,0.0126,411.4205,1.6191,7.945,519.4514,589.7332,0.7708,0.059,0.875
13,Project,2,np.log(bm) ~ dfi + ndti + dfi:ndti,BIRD,0.4153,0.4143,6830.1745,1924.5947,458.9829,6.5107,2.8557,0.681,3.7787,,53.9785,1.28,0.0449,1.6915,0.0751,0.3098,0.0138,456.6393,1.7973,10.2998,664.0174,743.8348,0.9853,0.0801,1.1037
14,Project,2,np.log(bm) ~ dfi + satvi + dfi:satvi,BIRD,0.4027,0.4017,6867.3385,752.3977,36.4666,8.2984,1.1164,0.0541,1.191,,25.3262,1.2341,0.0691,1.7074,0.0883,0.3127,0.0162,320.6509,1.2594,13.4191,446.8396,482.6603,0.663,0.0376,0.7162
15,Project,2,np.log(bm) ~ dfi + ndii7 + dfi:ndii7,BIRD,0.3803,0.3792,6932.0633,1340.6107,273.0112,9.52,1.9892,0.4051,2.4984,,36.6375,1.2987,0.0108,1.7434,0.0492,0.3193,0.009,556.5908,2.1712,15.2655,555.4008,606.5424,0.8241,0.0544,0.9
16,Project,2,np.log(bm) ~ dfi + nir + dfi:nir,BIRD,0.2816,0.2804,7191.4728,705.0746,34.4216,12.3086,1.0462,0.0511,1.0898,,18.1316,1.3128,0.0748,1.873,0.093,0.3431,0.017,282.2231,1.1066,19.9106,419.9484,440.7725,0.6231,0.0269,0.654
17,Project,2,np.log(bm) ~ dfi + swir1 + dfi:swir1,BIRD,0.491,0.4901,6586.6408,772.2804,96.2915,5.4861,1.1459,0.1429,1.4087,,22.4423,1.1473,0.0521,1.5773,0.0687,0.2889,0.0126,346.2567,1.3653,8.8023,429.9177,473.7063,0.6379,0.0333,0.7029
18,Project,2,np.log(bm) ~ dfi + swir2 + dfi:swir2,BIRD,0.5073,0.5065,6529.5155,777.421,70.7317,4.938,1.1535,0.105,1.3622,,21.9512,1.1415,0.0508,1.5521,0.0689,0.2843,0.0126,340.8545,1.3422,7.9045,441.1763,481.196,0.6546,0.0326,0.714
19,Project,2,np.log(bm) ~ dfi + bai_126 + dfi:bai_126,BIRD,0.0874,0.0858,7611.3818,791.6053,35.7798,21.139,1.1746,0.0531,1.2184,,19.0057,1.5346,0.0702,2.1137,0.0848,0.3872,0.0155,235.2617,0.9237,34.1344,504.2993,528.3246,0.7483,0.0282,0.7839
20,Project,2,np.log(bm) ~ dfi + bai_136 + dfi:bai_136,BIRD,0.3683,0.3672,6965.7067,849.5461,37.4455,8.3222,1.2605,0.0556,1.343,,30.479,1.2974,0.0633,1.7566,0.0789,0.3217,0.0145,379.3021,1.4897,13.3911,495.8668,538.7948,0.7358,0.0452,0.7995
21,Project,2,np.log(bm) ~ dfi + bai_236 + dfi:bai_236,BIRD,0.4268,0.4258,6795.0937,962.1427,57.1431,6.0847,1.4276,0.0848,1.5413,,30.5715,1.2684,0.0406,1.6741,0.066,0.3066,0.0121,508.6055,2.0045,9.7566,540.7468,586.9796,0.8024,0.0454,0.871
22,Project,2,np.log(bm) ~ dfi + bai_246 + dfi:bai_246,BIRD,0.258,0.2567,7248.2738,931.4989,89.605,13.5817,1.3821,0.133,1.5898,,31.2942,1.4335,0.0239,1.9089,0.0537,0.3496,0.0098,535.7973,2.0963,21.9671,541.5095,593.3988,0.8035,0.0464,0.8805
23,Project,2,np.log(bm) ~ ndvi + nir + ndvi:nir,BIRD,0.4427,0.4417,6745.9453,826.5818,250.6488,6.7204,1.2265,0.3719,1.9563,,22.7227,1.1685,0.058,1.6515,0.0719,0.3025,0.0132,337.9543,1.3217,10.844,404.9425,448.1689,0.6008,0.0337,0.665
24,Project,2,np.log(bm) ~ ndvi + bai_126 + ndvi:bai_126,BIRD,0.3134,0.3123,7111.8561,1054.1762,167.9026,8.5939,1.5642,0.2491,2.0195,,16.0804,1.3626,0.035,1.8337,0.0459,0.3359,0.0084,385.2758,1.51,13.7779,530.231,555.9948,0.7868,0.0239,0.825
