,model,kfold,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
0,Project,1,1,np.log(bm) ~ dfi,BIRD,0.022,0.0213,6181.6603,833.0297,21.5976,1.236,2.1341,0.3909,204.9912,0.8413,33.6643,506.7009,0.7518,1.538
1,Project,2,1,np.log(bm) ~ dfi,BIRD,0.0318,0.0311,6163.1527,780.5563,22.7404,1.1582,2.1868,0.4005,210.0079,0.8098,38.1619,516.2154,0.766,1.6042
2,Project,3,1,np.log(bm) ~ dfi,BIRD,0.0388,0.0381,6158.8844,866.9626,24.7996,1.2864,2.2006,0.4031,239.5939,0.9407,39.8422,554.6374,0.823,1.6182
3,Project,4,1,np.log(bm) ~ dfi,BIRD,0.0403,0.0397,6134.4667,817.521,27.3278,1.213,2.273,0.4163,239.5372,0.9535,44.0606,527.4048,0.7826,1.6494
4,Project,5,1,np.log(bm) ~ dfi,BIRD,0.0351,0.0344,6196.0856,867.3884,19.3907,1.287,2.0827,0.3815,227.1567,0.8542,31.4126,567.0596,0.8414,1.5385
0,Project,1,1,np.log(bm) ~ ndvi,BIRD,0.3161,0.3156,5679.4884,1155.1866,8.7822,1.7141,1.8753,0.3435,270.3677,1.1096,13.5922,536.2128,0.7956,1.4177
1,Project,2,1,np.log(bm) ~ ndvi,BIRD,0.3108,0.3103,5685.9372,1565.2578,8.2105,2.3225,1.8589,0.3405,259.9732,1.0025,13.5939,592.2277,0.8787,1.3923
2,Project,3,1,np.log(bm) ~ ndvi,BIRD,0.3063,0.3058,5700.9921,996.4999,8.9316,1.4786,1.8198,0.3333,424.177,1.6654,14.2242,552.2622,0.8194,1.3343
3,Project,4,1,np.log(bm) ~ ndvi,BIRD,0.3044,0.3039,5682.76,994.9171,9.218,1.4762,1.868,0.3422,611.796,2.4353,14.7958,541.4635,0.8034,1.3827
4,Project,5,1,np.log(bm) ~ ndvi,BIRD,0.3112,0.3107,5722.8587,1126.7398,6.5838,1.6718,1.7622,0.3228,425.9975,1.6019,10.5883,573.0824,0.8503,1.3395
