,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,1,np.log(bm) ~ dfi + I(dfi**2),0.0469,0.046,9356.1352,853.6035,45.1619,23.2805,1.1428,0.0605,1.2122,,21.2166,1.4376,0.0707,2.0505,0.1153,0.3611,0.0203,213.8349,0.7787,40.6867,555.6688,583.4392,0.744,0.0284,0.7811
0,projyear,1,np.log(bm) ~ ndvi + I(ndvi**2),0.3477,0.3471,8526.6521,651.7953,32.908,8.1693,0.8727,0.0441,0.9376,,9.2601,1.2134,0.0451,1.7001,0.0673,0.2994,0.0119,329.3471,1.1997,14.3153,432.2275,445.8433,0.5787,0.0124,0.5969
0,projyear,1,np.log(bm) ~ ndti + I(ndti**2),0.507,0.5065,7914.4706,628.5927,29.2478,5.8986,0.8416,0.0392,0.9041,,7.9782,1.0402,0.0237,1.4786,0.0513,0.2604,0.009,344.3695,1.2543,10.403,405.1631,419.1543,0.5425,0.0107,0.5612
0,projyear,1,np.log(bm) ~ satvi + I(satvi**2),0.3676,0.367,8458.9702,677.433,46.2002,9.1423,0.907,0.0619,0.99,,15.6976,1.147,0.0641,1.6711,0.0846,0.2943,0.0149,284.5078,1.0357,16.0599,422.3477,433.8619,0.5655,0.021,0.5809
0,projyear,1,np.log(bm) ~ ndii7 + I(ndii7**2),0.2638,0.2631,8791.4904,681.0231,35.3142,10.6793,0.9118,0.0473,0.9883,,14.1724,1.2887,0.0377,1.8073,0.0733,0.3182,0.0129,327.1108,1.1917,18.7111,458.7511,476.8051,0.6142,0.019,0.6384
0,projyear,1,np.log(bm) ~ nir + I(nir**2),0.2813,0.2807,8738.706,713.3456,52.1771,13.2611,0.9551,0.0699,1.0359,,21.3083,1.2124,0.0713,1.7804,0.1007,0.3135,0.0177,287.8032,1.0477,23.1724,442.4931,463.2467,0.5924,0.0285,0.6202
0,projyear,1,np.log(bm) ~ swir1 + I(swir1**2),0.4844,0.484,8012.2194,596.9296,42.6257,7.087,0.7992,0.0571,0.8658,,18.6431,1.0307,0.0336,1.5112,0.0538,0.2661,0.0095,301.6933,1.0988,12.4172,379.8531,404.0369,0.5086,0.025,0.5409
0,projyear,1,np.log(bm) ~ swir2 + I(swir2**2),0.5388,0.5384,7768.5388,582.625,41.3531,5.89,0.78,0.0554,0.85,,14.0663,0.9685,0.0234,1.4291,0.0406,0.2517,0.0071,296.2565,1.0791,10.3601,366.0057,381.5924,0.49,0.0188,0.5109
0,projyear,1,np.log(bm) ~ bai_126 + I(bai_126**2),0.0866,0.0858,9262.9591,806.9895,51.7937,22.4257,1.0804,0.0693,1.1625,,22.787,1.3961,0.0918,2.0056,0.1261,0.3532,0.0222,266.7035,0.971,39.1039,524.3137,546.6912,0.702,0.0305,0.7319
0,projyear,1,np.log(bm) ~ bai_136 + I(bai_136**2),0.2953,0.2947,8695.6595,669.0414,51.5037,11.2579,0.8957,0.069,0.9803,,16.1449,1.218,0.0684,1.7642,0.0918,0.3107,0.0162,290.2396,1.0564,19.6962,429.5645,447.9769,0.5751,0.0216,0.5998
