index,model,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,Project,1,np.log(bm) ~ dfi,BIRD,0.0352,0.0347,7654.8067,826.1137,41.8475,23.217,1.2266,0.0621,1.3156,,27.3037,1.5873,0.0634,2.1731,0.0981,0.398,0.018,222.9984,0.8772,37.4011,532.0104,557.4713,0.7899,0.0405,0.8277
1,Project,1,np.log(bm) ~ ndvi,BIRD,0.3102,0.3098,7070.1588,1171.1269,318.5074,8.3762,1.7388,0.4729,2.55,,68.2914,1.3776,0.0197,1.8413,0.0284,0.3373,0.0052,428.0858,1.6641,13.4294,563.8683,659.4728,0.8372,0.1014,0.9791
2,Project,1,np.log(bm) ~ ndti,BIRD,0.4051,0.4047,6812.1006,2159.7463,957.3988,5.9697,3.2067,1.4215,5.7026,,148.4804,1.3067,0.0249,1.7077,0.0479,0.3128,0.0088,547.8223,2.1404,9.3325,738.8551,1008.6998,1.097,0.2205,1.4977
3,Project,1,np.log(bm) ~ satvi,BIRD,0.3492,0.3488,6968.6119,739.2246,36.4985,8.658,1.0976,0.0542,1.1875,,14.981,1.298,0.0512,1.7841,0.0714,0.3268,0.0131,328.3392,1.2962,13.9986,446.298,464.8047,0.6626,0.0222,0.6901
4,Project,1,np.log(bm) ~ ndii7,BIRD,0.2707,0.2702,7167.1969,1349.4688,504.9801,9.6371,2.0036,0.7498,3.3359,,93.6217,1.4079,0.0264,1.8934,0.0298,0.3468,0.0055,594.7559,2.338,15.4539,573.8175,692.8227,0.852,0.139,1.0287
5,Project,1,np.log(bm) ~ nir,BIRD,0.2814,0.281,7141.379,720.6325,48.9184,12.0285,1.0699,0.0726,1.157,,26.3089,1.3329,0.0778,1.874,0.0993,0.3432,0.0182,302.4099,1.1914,19.4253,436.2185,471.8465,0.6477,0.0391,0.7006
6,Project,1,np.log(bm) ~ swir1,BIRD,0.4498,0.4495,6675.8314,900.6953,98.882,5.4707,1.3373,0.1468,1.5437,,33.2599,1.2226,0.0355,1.6418,0.0478,0.3007,0.0088,370.3234,1.4507,8.7104,483.8949,538.1535,0.7185,0.0494,0.799
7,Project,1,np.log(bm) ~ swir2,BIRD,0.4854,0.4852,6559.1486,928.0963,97.3467,4.6194,1.378,0.1445,1.6116,,36.9108,1.1919,0.035,1.5873,0.0495,0.2907,0.0091,384.2265,1.5042,7.322,496.8528,560.1976,0.7377,0.0548,0.8317
8,Project,1,np.log(bm) ~ bai_126,BIRD,0.0599,0.0594,7609.5828,783.4284,42.9663,24.1295,1.1632,0.0638,1.2483,,26.0498,1.5446,0.0752,2.1445,0.1086,0.3928,0.0199,225.9086,0.8913,38.979,505.7766,533.5642,0.7509,0.0387,0.7922
9,Project,1,np.log(bm) ~ bai_136,BIRD,0.2733,0.2729,7160.7593,822.5517,41.9835,10.5612,1.2213,0.0623,1.3343,,24.135,1.3823,0.0377,1.8868,0.0578,0.3456,0.0106,356.3443,1.3973,17.0152,496.113,528.6619,0.7366,0.0358,0.7849
