,model,kfold,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
0,Project,1,1,np.log(bm) ~ dfi,BIRD,0.0326,0.0319,6181.7476,840.1218,15.3124,1.2474,1.9797,0.3626,230.4707,0.8046,25.8341,554.4028,0.8231,1.4808
1,Project,2,1,np.log(bm) ~ dfi,BIRD,0.0447,0.044,6103.4775,800.76,26.618,1.1889,2.234,0.4092,215.145,0.9137,42.8855,519.5611,0.7714,1.6106
2,Project,3,1,np.log(bm) ~ dfi,BIRD,0.0318,0.0311,6115.4287,762.1807,25.9061,1.1316,2.1965,0.4023,229.214,0.866,39.012,484.3411,0.7191,1.5632
3,Project,4,1,np.log(bm) ~ dfi,BIRD,0.0369,0.0362,6114.4293,841.4349,24.4418,1.2493,2.2119,0.4051,220.9822,0.8613,39.115,544.2756,0.8081,1.6106
4,Project,5,1,np.log(bm) ~ dfi,BIRD,0.0307,0.03,6104.3822,886.071,23.8065,1.3156,2.2432,0.4109,219.1802,0.9403,40.159,557.4713,0.8277,1.6715
0,Project,1,1,np.log(bm) ~ ndvi,BIRD,0.3292,0.3287,5671.3565,1313.3822,6.3493,1.95,1.8036,0.3303,595.4271,2.0786,10.5419,659.4728,0.9791,1.4069
1,Project,2,1,np.log(bm) ~ ndvi,BIRD,0.3028,0.3023,5664.4163,1717.4498,7.8275,2.55,1.8136,0.3322,460.4099,1.9554,12.4052,631.3178,0.9373,1.3534
2,Project,3,1,np.log(bm) ~ ndvi,BIRD,0.3099,0.3094,5643.4287,1077.961,8.7905,1.6005,1.868,0.3421,440.1299,1.6628,13.1494,530.6513,0.7879,1.3931
3,Project,4,1,np.log(bm) ~ ndvi,BIRD,0.3067,0.3062,5655.9334,909.4199,8.8343,1.3502,1.847,0.3383,359.101,1.3997,14.1232,505.9035,0.7511,1.3729
4,Project,5,1,np.log(bm) ~ ndvi,BIRD,0.3025,0.302,5645.3291,837.4216,10.0792,1.2434,1.8745,0.3433,285.3612,1.2242,16.9273,491.9961,0.7305,1.3621
0,Project,1,1,np.log(bm) ~ ndti,BIRD,0.4136,0.4131,5483.9823,3840.8372,4.0966,5.7026,1.6218,0.297,548.4399,1.9146,6.4061,1008.6998,1.4977,1.2786
