,model,kfold,numb_vars,formula,xv,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
0,Temporal,2015,1,np.log(bm) ~ dfi,simp,0.0306,0.0302,9483.3261,838.2145,4.4591,1.1209,1.4437,0.2359,208.0063,0.6273,8.0585,545.2519,0.7291,1.115
1,Temporal,2016,1,np.log(bm) ~ dfi,simp,0.005,0.0046,8560.8706,497.3422,129.2513,1.5014,3.4772,0.8821,328.9167,1.7869,151.4533,350.6603,1.0586,2.4436
2,Temporal,2017,1,np.log(bm) ~ dfi,simp,0.0103,0.0099,9228.548,519.0553,32.0159,1.2802,2.0963,0.4194,229.2548,1.1353,39.3017,335.2798,0.8269,1.3949
3,Temporal,2018,1,np.log(bm) ~ dfi,simp,0.0494,0.049,9945.7971,1245.2018,-0.4793,1.0746,1.6941,0.2508,223.8583,0.617,0.2032,951.0462,0.8208,1.4665
4,Temporal,2019,1,np.log(bm) ~ dfi,simp,0.0377,0.0373,9653.9248,1312.4263,0.0916,1.0758,1.6343,0.2402,236.1737,0.5817,1.7847,982.9439,0.8057,1.4147
5,Temporal,2020,1,np.log(bm) ~ dfi,simp,0.0173,0.0169,10968.9914,515.0355,3.4316,0.6783,0.8861,0.1384,195.5143,0.4571,6.8178,371.6866,0.4895,0.6067
6,Temporal,2021,1,np.log(bm) ~ dfi,simp,0.0245,0.0241,10727.9198,591.8578,12.9322,1.0131,1.4482,0.2514,268.0417,0.9645,19.8132,396.9317,0.6794,1.0101
0,Temporal,2015,1,np.log(bm) ~ ndvi,simp,0.303,0.3026,8744.9219,1264.6803,4.7129,1.6911,1.3143,0.2147,822.2904,2.4798,7.9782,686.4595,0.9179,0.9617
1,Temporal,2016,1,np.log(bm) ~ ndvi,simp,0.2484,0.2481,7902.1828,490.2776,45.7188,1.48,2.9123,0.7388,191.6514,1.0412,53.6745,276.8228,0.8357,2.1797
2,Temporal,2017,1,np.log(bm) ~ ndvi,simp,0.2934,0.2931,8469.0903,541.0905,13.3085,1.3345,1.8339,0.3669,165.2349,0.8183,16.4478,299.7756,0.7394,1.2625
3,Temporal,2018,1,np.log(bm) ~ ndvi,simp,0.2569,0.2566,9360.4827,836.6349,-0.1645,0.722,0.86,0.1273,244.9125,0.6751,0.2735,596.9223,0.5151,0.694
