,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,1,np.log(bm) ~ dfi,0.0228,0.0225,11506.8792,867.1821,42.0443,20.3374,1.1583,0.0562,1.254,,19.0212,1.3207,0.0229,1.9085,0.0593,0.331,0.0103,212.9714,0.7728,34.367,556.7139,578.9053,0.7436,0.0254,0.7733
0,projyear,1,np.log(bm) ~ ndvi,0.2844,0.2841,10639.0788,871.6923,62.8232,8.2056,1.1643,0.0839,1.3078,,21.8033,1.1568,0.0402,1.6312,0.0692,0.2829,0.012,409.746,1.4891,13.8585,524.3207,563.7664,0.7003,0.0291,0.753
0,projyear,1,np.log(bm) ~ ndti,0.37,0.3697,10284.2368,1117.2928,75.4079,5.9067,1.4924,0.1007,1.5973,,28.6313,1.1138,0.0332,1.5314,0.0486,0.2656,0.0084,604.4645,2.1956,9.9586,591.07,624.8944,0.7895,0.0382,0.8347
0,projyear,1,np.log(bm) ~ satvi,0.3343,0.3341,10437.6129,737.8613,41.9644,6.8233,0.9856,0.0561,1.0735,,17.5806,1.1294,0.0275,1.5738,0.0577,0.2729,0.01,372.0893,1.3505,11.6115,479.1198,502.1808,0.64,0.0235,0.6708
0,projyear,1,np.log(bm) ~ ndii7,0.2153,0.215,10895.7389,837.6624,48.5223,10.8275,1.1189,0.0648,1.2028,,21.0525,1.1891,0.0427,1.7085,0.0627,0.2963,0.0109,415.3584,1.5092,18.3155,514.4279,544.8058,0.6871,0.0281,0.7277
0,projyear,1,np.log(bm) ~ nir,0.2699,0.2697,10694.6662,748.1059,61.7167,10.0725,0.9993,0.0824,1.1175,,28.311,1.1505,0.0286,1.6493,0.0464,0.286,0.008,345.0506,1.2533,17.096,478.4978,508.9936,0.6391,0.0378,0.6799
0,projyear,1,np.log(bm) ~ swir1,0.4134,0.4132,10085.0798,737.1572,89.9324,5.8354,0.9846,0.1201,1.1622,,36.4459,1.052,0.0389,1.4779,0.0475,0.2563,0.0082,410.6432,1.4914,9.8798,460.7086,505.9588,0.6154,0.0487,0.6758
0,projyear,1,np.log(bm) ~ swir2,0.4547,0.4545,9881.6803,740.8578,58.9269,4.8745,0.9896,0.0787,1.0815,,28.3396,1.0283,0.0388,1.4248,0.0458,0.2471,0.0079,440.8548,1.6007,8.257,466.3223,506.332,0.6229,0.0379,0.6763
0,projyear,1,np.log(bm) ~ bai_126,0.0838,0.0834,11327.5639,813.7858,51.7933,18.3921,1.087,0.0692,1.2072,,19.7238,1.2802,0.0372,1.8463,0.0725,0.3202,0.0126,258.195,0.9375,31.0351,531.6222,562.7231,0.7101,0.0263,0.7516
0,projyear,1,np.log(bm) ~ bai_136,0.2668,0.2665,10706.814,735.3397,33.2665,9.2076,0.9822,0.0444,1.0271,,16.6487,1.1652,0.0335,1.6516,0.0634,0.2864,0.011,354.3651,1.2869,15.5923,485.8635,500.8143,0.649,0.0222,0.669
