,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,1,bm ~ dfi,0.003,,45372.0682,769.104,56.3647,65.0508,0.9084,0.0666,1.0252,,23.0146,,,,,,,590.8866,1.9551,122.8737,587.5883,621.915,0.694,0.0272,0.7345
0,projyear,1,bm ~ ndvi,0.4063,,44199.9542,618.8464,55.8508,29.438,0.7309,0.066,0.8474,,24.4707,,,,,,,415.7339,1.3767,55.6264,447.1224,481.8266,0.5281,0.0289,0.5691
0,projyear,1,bm ~ ndti,0.4204,,44155.7008,616.0677,51.2374,22.9972,0.7276,0.0605,0.8333,,23.245,,,,,,,390.2398,1.2919,43.5272,433.5692,470.0789,0.5121,0.0275,0.5552
0,projyear,1,bm ~ satvi,0.3083,,44497.6621,654.2131,68.9212,26.2679,0.7727,0.0814,0.9131,,31.0626,,,,,,,448.9967,1.4865,49.6992,462.4998,512.4449,0.5462,0.0367,0.6052
0,projyear,1,bm ~ ndii7,0.3253,,44447.0335,646.9978,44.5934,36.8225,0.7641,0.0527,0.858,,16.8615,,,,,,,463.3457,1.5337,69.5974,481.4295,504.7496,0.5686,0.0199,0.5961
0,projyear,1,bm ~ nir,0.2453,,44682.7989,677.6136,68.9543,33.8931,0.8003,0.0814,0.9384,,31.848,,,,,,,476.1194,1.5754,64.0904,484.0074,538.062,0.5716,0.0376,0.6355
0,projyear,1,bm ~ swir1,0.5422,,43756.2983,571.6198,54.9323,19.3733,0.6751,0.0649,0.7883,,21.8994,,,,,,,388.5257,1.2863,36.6325,399.7369,435.5127,0.4721,0.0259,0.5144
0,projyear,1,bm ~ swir2,0.5638,,43680.9007,564.619,54.14,16.2994,0.6668,0.0639,0.7781,,22.7278,,,,,,,377.0062,1.2481,30.849,389.9868,425.5997,0.4606,0.0268,0.5027
0,projyear,1,bm ~ bai_126,0.1031,,45089.9831,730.0871,67.3259,52.6142,0.8623,0.0795,0.9965,,33.9846,,,,,,,540.5339,1.7889,99.4131,542.6982,595.6381,0.641,0.0401,0.7035
0,projyear,1,bm ~ bai_136,0.3556,,44355.6094,636.5424,70.6716,31.5974,0.7518,0.0835,0.899,,32.4241,,,,,,,438.7426,1.4529,59.7012,455.0005,506.3329,0.5374,0.0383,0.598
0,projyear,1,bm ~ bai_236,0.3088,,44496.1178,653.7451,64.9489,32.2204,0.7721,0.0767,0.9089,,27.0127,,,,,,,449.9921,1.49,60.8636,475.1585,517.6849,0.5612,0.0319,0.6114
0,projyear,1,bm ~ bai_246,0.129,,45016.6326,722.7433,46.2193,51.1887,0.8536,0.0546,0.9497,,19.5177,,,,,,,559.2062,1.8505,96.7333,548.1846,570.6666,0.6474,0.0231,0.674
0,projyear,2,bm ~ dfi + ndvi + dfi:ndvi,0.4818,,43962.2008,594.1608,52.2694,18.5936,0.7017,0.0617,0.8092,,22.9103,,,,,,,387.7877,1.284,35.2043,416.4192,449.6496,0.4918,0.0271,0.5311
0,projyear,2,bm ~ dfi + ndti + dfi:ndti,0.4308,,44126.306,614.6576,51.4472,24.0639,0.7259,0.0608,0.8319,,22.6457,,,,,,,380.8686,1.2611,45.5237,431.5525,465.2286,0.5097,0.0267,0.5495
0,projyear,2,bm ~ dfi + satvi + dfi:satvi,0.3367,,44416.1953,643.7261,68.4115,23.4143,0.7603,0.0808,0.901,,30.1568,,,,,,,430.9326,1.4268,44.3414,451.6542,498.8652,0.5334,0.0356,0.5892
0,projyear,2,bm ~ dfi + ndii7 + dfi:ndii7,0.3542,,44363.4416,640.572,42.5684,28.4295,0.7566,0.0503,0.8446,,16.0845,,,,,,,449.6194,1.488,53.8078,466.6348,490.336,0.5511,0.019,0.5791
0,projyear,2,bm ~ dfi + nir + dfi:nir,0.3229,,44457.4897,649.8435,72.2616,34.8759,0.7675,0.0853,0.9138,,33.5483,,,,,,,460.0249,1.5227,65.9057,462.5139,520.3123,0.5463,0.0396,0.6145
