,model,kfold,numb_vars,formula,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
0,projyear,1,1,bm ~ dfi,0.0034,,45276.1687,721.2696,64.9639,0.8521,,,590.173,1.9849,127.053,568.9694,0.6722,
1,projyear,2,1,bm ~ dfi,0.0034,,45276.1687,852.0349,53.8037,1.0066,,,584.2247,1.9266,104.0331,628.3533,0.7423,
2,projyear,3,1,bm ~ dfi,0.0034,,45276.1687,745.6751,57.8922,0.8809,,,574.6637,1.7854,106.7395,567.5037,0.6704,
3,projyear,4,1,bm ~ dfi,0.0034,,45276.1687,756.18,77.8467,0.8933,,,610.4601,2.1393,150.3528,584.3107,0.6903,
4,projyear,5,1,bm ~ dfi,0.0034,,45276.1687,775.047,70.0979,0.9156,,,597.0479,1.9728,127.1036,587.9068,0.6945,
0,projyear,1,1,bm ~ ndvi,0.4139,,44084.0386,576.255,39.6792,0.6808,,,432.4522,1.4545,77.5812,440.7196,0.5206,
1,projyear,2,1,bm ~ ndvi,0.4139,,44084.0386,693.6111,28.1094,0.8194,,,422.4585,1.3931,54.3647,488.7416,0.5774,
2,projyear,3,1,bm ~ ndvi,0.4139,,44084.0386,592.4443,34.0676,0.6999,,,440.8734,1.3697,62.7894,442.1676,0.5224,
3,projyear,4,1,bm ~ ndvi,0.4139,,44084.0386,615.114,43.6465,0.7267,,,430.3552,1.5082,84.2817,458.8379,0.5421,
4,projyear,5,1,bm ~ ndvi,0.4139,,44084.0386,634.4862,38.892,0.7496,,,458.5963,1.5153,70.5158,457.8286,0.5409,
0,projyear,1,1,bm ~ ndti,0.4228,,44055.9389,563.1791,35.8876,0.6653,,,424.6221,1.4281,70.1662,424.7743,0.5018,
1,projyear,2,1,bm ~ ndti,0.4228,,44055.9389,687.515,26.3538,0.8122,,,430.0533,1.4182,50.9672,483.2634,0.5709,
2,projyear,3,1,bm ~ ndti,0.4228,,44055.9389,603.9929,30.3402,0.7135,,,407.6574,1.2665,55.924,438.2184,0.5177,
3,projyear,4,1,bm ~ ndti,0.4228,,44055.9389,614.2164,38.4327,0.7256,,,414.5699,1.4528,74.2293,450.1349,0.5318,
4,projyear,5,1,bm ~ ndti,0.4228,,44055.9389,627.5486,33.6144,0.7414,,,418.7564,1.3837,60.9485,450.1579,0.5318,
0,projyear,1,1,bm ~ satvi,0.3101,,44399.4633,591.114,32.9281,0.6983,,,438.1565,1.4737,64.3604,436.1386,0.5152,
1,projyear,2,1,bm ~ satvi,0.3101,,44399.4633,749.9888,21.8492,0.886,,,460.653,1.5191,42.3034,517.4899,0.6113,
2,projyear,3,1,bm ~ satvi,0.3101,,44399.4633,639.0747,30.087,0.755,,,438.5705,1.3626,55.4673,449.9438,0.5315,
3,projyear,4,1,bm ~ satvi,0.3101,,44399.4633,639.8116,36.3399,0.7558,,,456.975,1.6014,70.1882,468.4027,0.5534,
4,projyear,5,1,bm ~ satvi,0.3101,,44399.4633,668.4851,30.1937,0.7897,,,461.9129,1.5263,54.7624,468.4644,0.5534,
0,projyear,1,1,bm ~ ndii7,0.334,,44327.9386,619.1121,45.1388,0.7314,,,479.4866,1.6127,88.2841,480.4858,0.5676,
1,projyear,2,1,bm ~ ndii7,0.334,,44327.9386,709.1555,34.4421,0.8378,,,461.0596,1.5204,66.5993,510.5591,0.6032,
2,projyear,3,1,bm ~ ndii7,0.334,,44327.9386,633.0765,37.6956,0.7479,,,485.075,1.507,69.4878,484.8137,0.5727,
3,projyear,4,1,bm ~ ndii7,0.334,,44327.9386,637.6171,49.7096,0.7533,,,471.6376,1.6528,96.0126,484.8435,0.5728,
4,projyear,5,1,bm ~ ndii7,0.334,,44327.9386,654.331,45.1889,0.773,,,501.1671,1.656,81.9462,487.373,0.5758,
0,projyear,1,1,bm ~ nir,0.2457,,44588.1793,602.3318,38.8954,0.7116,,,476.9747,1.6042,76.0454,451.6245,0.5335,
1,projyear,2,1,bm ~ nir,0.2457,,44588.1793,772.0078,27.8022,0.912,,,506.4838,1.6702,53.8006,544.1006,0.6428,
2,projyear,3,1,bm ~ nir,0.2457,,44588.1793,668.4198,34.4176,0.7896,,,457.7003,1.422,63.4698,464.9121,0.5492,
3,projyear,4,1,bm ~ nir,0.2457,,44588.1793,677.0547,45.9067,0.7998,,,491.5979,1.7228,88.6635,500.8449,0.5917,
4,projyear,5,1,bm ~ nir,0.2457,,44588.1793,681.1721,35.9696,0.8047,,,455.2269,1.5042,65.2308,475.0797,0.5612,
0,projyear,1,1,bm ~ swir1,0.5474,,43646.8512,514.5262,29.8935,0.6078,,,401.9717,1.352,58.4422,391.2354,0.4622,
1,projyear,2,1,bm ~ swir1,0.5474,,43646.8512,647.3945,18.8107,0.7648,,,401.5319,1.3241,36.3863,439.5498,0.5193,
2,projyear,3,1,bm ~ swir1,0.5474,,43646.8512,549.8324,24.0952,0.6495,,,382.556,1.1885,44.4182,397.1829,0.4692,
3,projyear,4,1,bm ~ swir1,0.5474,,43646.8512,578.5695,32.0514,0.6835,,,390.0465,1.3669,61.8916,414.7217,0.4899,
4,projyear,5,1,bm ~ swir1,0.5474,,43646.8512,586.164,25.8774,0.6925,,,402.9547,1.3315,46.9165,406.7848,0.4806,
0,projyear,1,1,bm ~ swir2,0.5661,,43581.6823,508.2045,27.2159,0.6004,,,391.5311,1.3169,53.2047,375.923,0.4441,
1,projyear,2,1,bm ~ swir2,0.5661,,43581.6823,638.4984,16.7921,0.7543,,,393.3438,1.2971,32.487,431.5441,0.5098,
2,projyear,3,1,bm ~ swir2,0.5661,,43581.6823,547.612,21.7998,0.6469,,,370.6395,1.1515,40.1868,388.0369,0.4584,
3,projyear,4,1,bm ~ swir2,0.5661,,43581.6823,570.1387,28.1162,0.6735,,,372.1127,1.304,54.2962,407.5791,0.4815,
4,projyear,5,1,bm ~ swir2,0.5661,,43581.6823,579.1397,22.6715,0.6842,,,387.1126,1.2791,41.1062,400.2986,0.4729,
0,projyear,1,1,bm ~ bai_126,0.1062,,44986.8518,656.9643,52.8886,0.7761,,,524.3069,1.7634,103.4122,501.0952,0.592,
1,projyear,2,1,bm ~ bai_126,0.1062,,44986.8518,823.1545,40.8651,0.9724,,,555.4515,1.8317,79.0537,598.6915,0.7073,
2,projyear,3,1,bm ~ bai_126,0.1062,,44986.8518,709.8319,49.298,0.8386,,,518.3258,1.6104,90.8863,515.8466,0.6094,
3,projyear,4,1,bm ~ bai_126,0.1062,,44986.8518,724.6407,63.6996,0.8561,,,562.2234,1.9703,123.0241,552.9083,0.6532,
4,projyear,5,1,bm ~ bai_126,0.1062,,44986.8518,738.3869,54.7805,0.8723,,,535.4272,1.7692,99.3377,540.3118,0.6383,
0,projyear,1,1,bm ~ bai_136,0.357,,44258.8525,570.9885,38.3198,0.6745,,,442.9972,1.4899,74.9131,432.0068,0.5104,
1,projyear,2,1,bm ~ bai_136,0.357,,44258.8525,728.3606,27.5814,0.8605,,,450.6673,1.4862,53.3544,503.2955,0.5946,
2,projyear,3,1,bm ~ bai_136,0.357,,44258.8525,608.1329,34.0635,0.7184,,,429.3096,1.3338,62.7947,443.9054,0.5244,
3,projyear,4,1,bm ~ bai_136,0.357,,44258.8525,636.9471,43.9938,0.7525,,,451.0354,1.5806,84.9531,468.0825,0.553,
4,projyear,5,1,bm ~ bai_136,0.357,,44258.8525,661.9008,37.6902,0.7819,,,463.6984,1.5322,68.3261,470.0811,0.5553,
0,projyear,1,1,bm ~ bai_236,0.3092,,44402.0197,603.0877,41.3927,0.7125,,,461.9762,1.5538,80.9368,468.6373,0.5536,
1,projyear,2,1,bm ~ bai_236,0.3092,,44402.0197,744.2907,30.8576,0.8793,,,461.0374,1.5204,59.6728,524.7748,0.6199,
2,projyear,3,1,bm ~ bai_236,0.3092,,44402.0197,622.8791,35.6264,0.7358,,,462.7641,1.4377,65.6821,470.3934,0.5557,
3,projyear,4,1,bm ~ bai_236,0.3092,,44402.0197,650.1151,47.6559,0.768,,,465.8188,1.6324,92.0288,485.5394,0.5736,
4,projyear,5,1,bm ~ bai_236,0.3092,,44402.0197,670.965,41.5317,0.7927,,,485.7696,1.6051,75.2938,487.9165,0.5764,
0,projyear,1,1,bm ~ bai_246,0.1329,,44911.361,691.093,53.3548,0.8164,,,545.8016,1.8357,104.3672,532.7048,0.6293,
1,projyear,2,1,bm ~ bai_246,0.1329,,44911.361,786.5025,40.121,0.9291,,,529.7837,1.7471,77.6104,566.6069,0.6694,
2,projyear,3,1,bm ~ bai_246,0.1329,,44911.361,708.504,45.7913,0.837,,,577.1802,1.7932,84.4293,543.8882,0.6425,
3,projyear,4,1,bm ~ bai_246,0.1329,,44911.361,697.2336,59.142,0.8237,,,558.2594,1.9564,114.2526,536.2174,0.6335,
4,projyear,5,1,bm ~ bai_246,0.1329,,44911.361,726.4476,54.2212,0.8582,,,580.2292,1.9172,98.3478,550.5378,0.6504,
0,projyear,1,2,bm ~ dfi + ndvi + dfi:ndvi,0.4826,,43867.6425,545.9933,30.9874,0.645,,,405.2061,1.3628,60.5801,406.2218,0.4799,
1,projyear,2,2,bm ~ dfi + ndvi + dfi:ndvi,0.4826,,43867.6425,665.641,20.9963,0.7864,,,406.0963,1.3392,40.6162,458.0824,0.5412,
2,projyear,3,2,bm ~ dfi + ndvi + dfi:ndvi,0.4826,,43867.6425,580.7598,26.0464,0.6861,,,398.3324,1.2376,48.0086,419.1609,0.4952,
3,projyear,4,2,bm ~ dfi + ndvi + dfi:ndvi,0.4826,,43867.6425,592.1788,32.0445,0.6996,,,391.8925,1.3734,61.8891,431.4143,0.5097,
4,projyear,5,2,bm ~ dfi + ndvi + dfi:ndvi,0.4826,,43867.6425,607.4814,27.9383,0.7177,,,410.2714,1.3556,50.6598,429.9274,0.5079,
0,projyear,1,2,bm ~ dfi + ndti + dfi:ndti,0.4333,,44026.2576,560.9346,38.0218,0.6627,,,421.6878,1.4183,74.3353,425.3643,0.5025,
1,projyear,2,2,bm ~ dfi + ndti + dfi:ndti,0.4333,,44026.2576,683.0772,28.2435,0.807,,,423.0435,1.3951,54.6112,479.8095,0.5668,
2,projyear,3,2,bm ~ dfi + ndti + dfi:ndti,0.4333,,44026.2576,597.9362,32.4686,0.7064,,,409.1367,1.2711,59.8385,435.7748,0.5148,
3,projyear,4,2,bm ~ dfi + ndti + dfi:ndti,0.4333,,44026.2576,610.6035,41.8196,0.7213,,,412.9423,1.4471,80.7575,449.5128,0.531,
4,projyear,5,2,bm ~ dfi + ndti + dfi:ndti,0.4333,,44026.2576,625.4172,37.008,0.7388,,,423.3281,1.3988,67.0925,450.5843,0.5323,
0,projyear,1,2,bm ~ dfi + satvi + dfi:satvi,0.3394,,44315.3216,586.1784,34.2675,0.6925,,,435.3532,1.4642,66.9842,435.9595,0.515,
1,projyear,2,2,bm ~ dfi + satvi + dfi:satvi,0.3394,,44315.3216,737.1017,22.5059,0.8708,,,447.1369,1.4745,43.5689,505.973,0.5977,
2,projyear,3,2,bm ~ dfi + satvi + dfi:satvi,0.3394,,44315.3216,618.1501,31.2022,0.7303,,,432.9909,1.3452,57.5205,442.0414,0.5222,
3,projyear,4,2,bm ~ dfi + satvi + dfi:satvi,0.3394,,44315.3216,635.946,37.4939,0.7513,,,448.2144,1.5707,72.4056,465.2446,0.5496,
4,projyear,5,2,bm ~ dfi + satvi + dfi:satvi,0.3394,,44315.3216,660.1276,31.5118,0.7798,,,458.0443,1.5135,57.1487,462.5621,0.5465,
0,projyear,1,2,bm ~ dfi + ndii7 + dfi:ndii7,0.3667,,44232.5882,607.4895,40.1071,0.7177,,,470.5259,1.5825,78.4496,466.7064,0.5513,
1,projyear,2,2,bm ~ dfi + ndii7 + dfi:ndii7,0.3667,,44232.5882,692.1476,29.9215,0.8177,,,453.884,1.4968,57.8637,496.2953,0.5863,
2,projyear,3,2,bm ~ dfi + ndii7 + dfi:ndii7,0.3667,,44232.5882,628.9229,32.4383,0.743,,,466.0724,1.448,59.8044,474.392,0.5604,
3,projyear,4,2,bm ~ dfi + ndii7 + dfi:ndii7,0.3667,,44232.5882,629.3155,42.2057,0.7434,,,452.9105,1.5872,81.536,471.1184,0.5566,
4,projyear,5,2,bm ~ dfi + ndii7 + dfi:ndii7,0.3667,,44232.5882,638.8981,38.1716,0.7548,,,478.346,1.5806,69.2314,472.2334,0.5579,
0,projyear,1,2,bm ~ dfi + nir + dfi:nir,0.3248,,44359.1511,573.3648,40.259,0.6773,,,458.9711,1.5437,78.7023,436.1544,0.5153,
1,projyear,2,2,bm ~ dfi + nir + dfi:nir,0.3248,,44359.1511,746.3666,29.2228,0.8817,,,484.6969,1.5984,56.5252,517.8992,0.6118,
2,projyear,3,2,bm ~ dfi + nir + dfi:nir,0.3248,,44359.1511,628.7828,35.9856,0.7428,,,442.7402,1.3755,66.3415,443.758,0.5242,
3,projyear,4,2,bm ~ dfi + nir + dfi:nir,0.3248,,44359.1511,651.902,48.8335,0.7701,,,480.4697,1.6838,94.2902,474.4617,0.5605,
4,projyear,5,2,bm ~ dfi + nir + dfi:nir,0.3248,,44359.1511,660.5422,39.5424,0.7803,,,453.3324,1.4979,71.6877,454.6874,0.5371,
0,projyear,1,2,bm ~ dfi + swir1 + dfi:swir1,0.555,,43623.5138,507.7516,27.812,0.5998,,,400.5671,1.3472,54.3729,381.9548,0.4512,
1,projyear,2,2,bm ~ dfi + swir1 + dfi:swir1,0.555,,43623.5138,645.6119,16.9411,0.7627,,,403.7085,1.3313,32.7763,436.4585,0.5156,
2,projyear,3,2,bm ~ dfi + swir1 + dfi:swir1,0.555,,43623.5138,548.7827,21.9399,0.6483,,,376.3164,1.1692,40.4506,389.5416,0.4602,
3,projyear,4,2,bm ~ dfi + swir1 + dfi:swir1,0.555,,43623.5138,577.9313,28.9946,0.6827,,,387.7653,1.3589,55.9954,411.0915,0.4856,
4,projyear,5,2,bm ~ dfi + swir1 + dfi:swir1,0.555,,43623.5138,581.8752,22.7638,0.6874,,,394.6271,1.3039,41.2755,399.5373,0.472,
0,projyear,1,2,bm ~ dfi + swir2 + dfi:swir2,0.5671,,43581.2703,506.5168,26.6313,0.5984,,,391.5121,1.3168,52.0614,372.3075,0.4398,
1,projyear,2,2,bm ~ dfi + swir2 + dfi:swir2,0.5671,,43581.2703,637.8287,16.2814,0.7535,,,394.5613,1.3011,31.5001,429.8776,0.5078,
2,projyear,3,2,bm ~ dfi + swir2 + dfi:swir2,0.5671,,43581.2703,549.5443,21.1845,0.6492,,,368.626,1.1453,39.054,386.6659,0.4568,
3,projyear,4,2,bm ~ dfi + swir2 + dfi:swir2,0.5671,,43581.2703,569.6263,27.3424,0.6729,,,371.9557,1.3035,52.8037,406.5766,0.4803,
4,projyear,5,2,bm ~ dfi + swir2 + dfi:swir2,0.5671,,43581.2703,577.8235,21.8934,0.6826,,,384.4985,1.2705,39.696,398.3567,0.4706,
0,projyear,1,2,bm ~ dfi + bai_126 + dfi:bai_126,0.1395,,44896.5278,643.59,54.9848,0.7603,,,521.5576,1.7542,107.5015,492.7151,0.5821,
1,projyear,2,2,bm ~ dfi + bai_126 + dfi:bai_126,0.1395,,44896.5278,811.8064,42.16,0.959,,,566.975,1.8697,81.5504,582.576,0.6882,
2,projyear,3,2,bm ~ dfi + bai_126 + dfi:bai_126,0.1395,,44896.5278,690.6434,51.3124,0.8159,,,520.1709,1.6161,94.5868,503.3183,0.5946,
