,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,1,"np.power(bm, 0.5) ~ dfi",0.1414,0.1403,5650.4056,794.2961,50.1287,0.436,0.6464,0.0408,0.71,,25.4741,,,,,,,613.5016,1.3289,1.5553,600.8652,641.7321,0.489,0.0207,0.5223
0,projyear,1,"np.power(bm, 0.5) ~ ndvi",0.4527,0.4519,5314.563,646.4309,44.6295,0.2583,0.5261,0.0363,0.567,,22.7502,,,,,,,422.2674,0.9159,0.8829,468.2857,498.7721,0.3811,0.0185,0.4059
0,projyear,1,"np.power(bm, 0.5) ~ ndti",0.2895,0.2885,5509.2232,722.6944,55.6654,0.3475,0.5881,0.0453,0.6529,,30.5418,,,,,,,521.3819,1.1339,1.2301,533.1286,585.7286,0.4339,0.0249,0.4767
0,projyear,1,"np.power(bm, 0.5) ~ satvi",0.1704,0.1693,5624.8235,789.4426,60.4198,0.3997,0.6425,0.0492,0.7113,,31.2121,,,,,,,590.0351,1.2825,1.4204,573.5106,634.7523,0.4667,0.0254,0.5166
0,projyear,1,"np.power(bm, 0.5) ~ ndii7",0.3901,0.3893,5395.2315,671.2589,44.588,0.2962,0.5463,0.0363,0.5894,,22.1476,,,,,,,460.4179,1.0013,1.0333,490.2975,524.279,0.399,0.018,0.4267
0,projyear,1,"np.power(bm, 0.5) ~ nir",0.102,0.1008,5683.9018,816.2568,76.838,0.4323,0.6643,0.0625,0.7554,,37.9989,,,,,,,616.3253,1.3383,1.5626,599.8075,668.7376,0.4881,0.0309,0.5442
0,projyear,1,"np.power(bm, 0.5) ~ swir1",0.4709,0.4702,5289.2499,632.3815,61.2747,0.2451,0.5146,0.0499,0.5783,,31.935,,,,,,,465.4007,1.0085,0.8404,463.3873,506.4611,0.3771,0.026,0.4122
0,projyear,1,"np.power(bm, 0.5) ~ swir2",0.4428,0.4421,5327.8077,645.2091,61.6171,0.2619,0.5251,0.0501,0.5927,,33.5415,,,,,,,473.8554,1.0279,0.8997,472.9312,523.6282,0.3849,0.0273,0.4261
0,projyear,1,"np.power(bm, 0.5) ~ bai_126",0.024,0.0227,5746.0244,846.5799,68.9639,0.4818,0.689,0.0561,0.773,,36.2766,,,,,,,648.9722,1.409,1.7552,632.4791,700.103,0.5147,0.0295,0.5698
0,projyear,1,"np.power(bm, 0.5) ~ bai_136",0.3124,0.3115,5484.7021,716.088,57.075,0.3278,0.5828,0.0464,0.6328,,26.1565,,,,,,,531.7029,1.1529,1.1662,522.579,568.3722,0.4253,0.0213,0.4626
