,model,kfold,numb_vars,formula,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
0,projyear,1,1,"np.power(bm, 0.5) ~ dfi",0.1269,0.1254,4520.8933,809.1044,0.3798,0.6585,,,575.0722,1.2705,1.4153,591.3858,0.4813,
1,projyear,2,1,"np.power(bm, 0.5) ~ dfi",0.1407,0.1392,4521.8283,792.038,0.474,0.6446,,,605.8502,1.3312,1.6855,597.7942,0.4865,
2,projyear,3,1,"np.power(bm, 0.5) ~ dfi",0.1448,0.1434,4530.3071,716.369,0.6122,0.583,,,635.9946,1.3508,1.5884,563.5299,0.4586,
3,projyear,4,1,"np.power(bm, 0.5) ~ dfi",0.1693,0.1679,4523.4349,781.5403,0.3321,0.636,,,647.0596,1.3047,1.3513,609.884,0.4963,
4,projyear,5,1,"np.power(bm, 0.5) ~ dfi",0.1273,0.1259,4505.1747,872.4288,0.3817,0.71,,,603.5313,1.3872,1.7359,641.7321,0.5223,
0,projyear,1,1,"np.power(bm, 0.5) ~ ndvi",0.4595,0.4586,4235.0544,696.6572,0.2343,0.567,,,421.5207,0.9313,0.8367,472.2883,0.3844,
1,projyear,2,1,"np.power(bm, 0.5) ~ ndvi",0.4428,0.4419,4263.1998,619.8906,0.306,0.5045,,,417.107,0.9165,1.028,448.8774,0.3653,
2,projyear,3,1,"np.power(bm, 0.5) ~ ndvi",0.4472,0.4463,4269.7948,574.9159,0.3607,0.4679,,,416.4102,0.8844,0.8728,436.7452,0.3554,
3,projyear,4,1,"np.power(bm, 0.5) ~ ndvi",0.4707,0.4698,4254.3394,654.9555,0.129,0.533,,,427.8933,0.8628,0.5824,484.7453,0.3945,
4,projyear,5,1,"np.power(bm, 0.5) ~ ndvi",0.4432,0.4423,4236.9039,685.735,0.2617,0.5581,,,428.4057,0.9847,1.0948,498.7721,0.4059,
0,projyear,1,1,"np.power(bm, 0.5) ~ ndti",0.3104,0.3092,4380.2724,802.2391,0.331,0.6529,,,529.3154,1.1694,1.2512,549.6391,0.4473,
1,projyear,2,1,"np.power(bm, 0.5) ~ ndti",0.2741,0.2729,4421.0947,695.6631,0.4164,0.5661,,,528.395,1.1611,1.4068,510.0879,0.4151,
2,projyear,3,1,"np.power(bm, 0.5) ~ ndti",0.2903,0.2891,4418.9604,659.3061,0.4373,0.5366,,,538.6253,1.144,1.1689,514.1291,0.4184,
3,projyear,4,1,"np.power(bm, 0.5) ~ ndti",0.2911,0.2899,4428.7593,681.4524,0.1549,0.5546,,,452.0883,0.9116,0.7636,506.0584,0.4118,
4,projyear,5,1,"np.power(bm, 0.5) ~ ndti",0.2822,0.281,4388.5639,774.8113,0.398,0.6306,,,558.4853,1.2837,1.5601,585.7286,0.4767,
0,projyear,1,1,"np.power(bm, 0.5) ~ satvi",0.1765,0.1751,4486.0328,838.4499,0.3825,0.6823,,,595.5047,1.3157,1.4006,568.8196,0.4629,
1,projyear,2,1,"np.power(bm, 0.5) ~ satvi",0.1666,0.1652,4503.5415,785.819,0.4928,0.6395,,,596.8273,1.3114,1.6083,559.2133,0.4551,
2,projyear,3,1,"np.power(bm, 0.5) ~ satvi",0.1716,0.1702,4511.2817,713.7552,0.4821,0.5809,,,594.3962,1.2625,1.3339,553.201,0.4502,
3,projyear,4,1,"np.power(bm, 0.5) ~ satvi",0.1735,0.1722,4520.3892,735.1317,0.1957,0.5983,,,535.901,1.0806,0.9855,551.5668,0.4489,
4,projyear,5,1,"np.power(bm, 0.5) ~ satvi",0.164,0.1626,4479.5427,874.0573,0.4453,0.7113,,,627.5462,1.4424,1.7739,634.7523,0.5166,
0,projyear,1,1,"np.power(bm, 0.5) ~ ndii7",0.3962,0.3952,4301.0871,722.264,0.2606,0.5878,,,441.8144,0.9761,1.0001,501.0412,0.4078,
1,projyear,2,1,"np.power(bm, 0.5) ~ ndii7",0.3804,0.3794,4326.5521,639.4815,0.338,0.5204,,,456.7821,1.0037,1.19,459.3112,0.3738,
2,projyear,3,1,"np.power(bm, 0.5) ~ ndii7",0.3895,0.3885,4329.0461,613.7123,0.4328,0.4995,,,470.562,0.9994,1.0501,475.4319,0.3869,
3,projyear,4,1,"np.power(bm, 0.5) ~ ndii7",0.3976,0.3966,4331.5872,656.6298,0.1621,0.5344,,,414.4478,0.8357,0.6754,491.4241,0.3999,
4,projyear,5,1,"np.power(bm, 0.5) ~ ndii7",0.3874,0.3864,4293.9011,724.2069,0.2876,0.5894,,,518.4834,1.1918,1.2508,524.279,0.4267,
0,projyear,1,1,"np.power(bm, 0.5) ~ nir",0.1158,0.1143,4528.4488,877.6064,0.449,0.7142,,,652.0093,1.4405,1.627,611.2811,0.4975,
1,projyear,2,1,"np.power(bm, 0.5) ~ nir",0.0942,0.0927,4553.286,803.2354,0.5126,0.6537,,,616.1785,1.3539,1.7359,576.9001,0.4695,
2,projyear,3,1,"np.power(bm, 0.5) ~ nir",0.0985,0.0969,4561.8153,725.5078,0.5445,0.5904,,,629.5177,1.3371,1.5241,579.9738,0.472,
3,projyear,4,1,"np.power(bm, 0.5) ~ nir",0.0987,0.0972,4572.1489,746.7703,0.2418,0.6077,,,571.0743,1.1515,1.163,562.145,0.4575,
4,projyear,5,1,"np.power(bm, 0.5) ~ nir",0.1038,0.1022,4521.0949,928.1642,0.4137,0.7554,,,612.8466,1.4086,1.7629,668.7376,0.5442,
0,projyear,1,1,"np.power(bm, 0.5) ~ swir1",0.4923,0.4914,4197.7982,710.6129,0.2781,0.5783,,,521.1845,1.1515,0.9277,482.7618,0.3929,
1,projyear,2,1,"np.power(bm, 0.5) ~ swir1",0.4515,0.4506,4253.8205,586.7214,0.2849,0.4775,,,460.4707,1.0118,0.9562,419.9307,0.3417,
2,projyear,3,1,"np.power(bm, 0.5) ~ swir1",0.4685,0.4676,4246.308,547.1324,0.3513,0.4453,,,456.9873,0.9706,0.8709,433.8955,0.3531,
3,projyear,4,1,"np.power(bm, 0.5) ~ swir1",0.4893,0.4884,4233.0524,627.7924,0.1055,0.5109,,,472.9512,0.9536,0.5158,473.8874,0.3857,
4,projyear,5,1,"np.power(bm, 0.5) ~ swir1",0.4546,0.4537,4224.5291,689.6483,0.2058,0.5612,,,415.4099,0.9548,0.9316,506.4611,0.4122,
0,projyear,1,1,"np.power(bm, 0.5) ~ swir2",0.4661,0.4652,4227.7845,728.3042,0.2842,0.5927,,,513.0567,1.1335,0.9771,493.0311,0.4012,
1,projyear,2,1,"np.power(bm, 0.5) ~ swir2",0.4222,0.4213,4284.8468,601.7492,0.3136,0.4897,,,473.1669,1.0397,1.0354,428.1086,0.3484,
2,projyear,3,1,"np.power(bm, 0.5) ~ swir2",0.4413,0.4403,4276.185,566.1216,0.3575,0.4607,,,466.9655,0.9918,0.9031,447.6032,0.3643,
3,projyear,4,1,"np.power(bm, 0.5) ~ swir2",0.4566,0.4557,4270.0138,625.207,0.1006,0.5088,,,464.9219,0.9374,0.5174,472.2847,0.3844,
4,projyear,5,1,"np.power(bm, 0.5) ~ swir2",0.4298,0.4288,4251.1637,704.6636,0.2539,0.5735,,,451.1661,1.037,1.0653,523.6282,0.4261,
0,projyear,1,1,"np.power(bm, 0.5) ~ bai_126",0.0245,0.0229,4586.9651,889.5624,0.4535,0.7239,,,649.6465,1.4353,1.7188,633.3602,0.5154,
1,projyear,2,1,"np.power(bm, 0.5) ~ bai_126",0.0251,0.0235,4597.1606,847.007,0.5647,0.6893,,,660.4194,1.4512,1.9318,626.5565,0.5099,
2,projyear,3,1,"np.power(bm, 0.5) ~ bai_126",0.0202,0.0186,4611.5096,757.1649,0.6016,0.6162,,,649.5586,1.3796,1.6915,603.7199,0.4913,
3,projyear,4,1,"np.power(bm, 0.5) ~ bai_126",0.028,0.0263,4617.2415,789.3356,0.3076,0.6424,,,620.9983,1.2521,1.394,598.6556,0.4872,
4,projyear,5,1,"np.power(bm, 0.5) ~ bai_126",0.022,0.0204,4573.1878,949.8294,0.4815,0.773,,,664.2382,1.5268,2.04,700.103,0.5698,
0,projyear,1,1,"np.power(bm, 0.5) ~ bai_136",0.3229,0.3218,4369.3769,774.3672,0.3454,0.6302,,,565.4109,1.2492,1.1684,518.6599,0.4221,
1,projyear,2,1,"np.power(bm, 0.5) ~ bai_136",0.3051,0.3039,4395.0832,702.6069,0.4005,0.5718,,,539.5201,1.1855,1.3258,502.3025,0.4088,
2,projyear,3,1,"np.power(bm, 0.5) ~ bai_136",0.3044,0.3032,4407.0076,622.4307,0.4003,0.5065,,,521.5427,1.1077,1.0948,493.5584,0.4017,
3,projyear,4,1,"np.power(bm, 0.5) ~ bai_136",0.3358,0.3347,4389.9303,703.4749,0.1754,0.5725,,,532.2548,1.0732,0.8912,530.0018,0.4313,
4,projyear,5,1,"np.power(bm, 0.5) ~ bai_136",0.2951,0.2939,4377.731,777.56,0.3174,0.6328,,,499.7862,1.1488,1.3509,568.3722,0.4626,
0,projyear,1,1,"np.power(bm, 0.5) ~ bai_236",0.3783,0.3773,4318.4607,750.3015,0.3207,0.6106,,,528.506,1.1676,1.0462,514.9956,0.4191,
1,projyear,2,1,"np.power(bm, 0.5) ~ bai_236",0.3643,0.3633,4341.8386,674.1103,0.36,0.5486,,,485.5985,1.067,1.1982,486.6808,0.3961,
2,projyear,3,1,"np.power(bm, 0.5) ~ bai_236",0.3639,0.3628,4353.6209,616.3608,0.4028,0.5016,,,483.4672,1.0269,1.0076,470.6837,0.3831,
