,model,kfold,numb_vars,formula,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
0,projyear,1,1,np.log(bm) ~ dfi,0.0252,0.0247,9209.0635,938.7838,19.4082,1.254,1.897,0.329,211.46,0.7463,33.3121,578.9053,0.7733,1.3152
1,projyear,2,1,np.log(bm) ~ dfi,0.0235,0.0231,9233.8282,865.5782,18.1321,1.1562,1.8607,0.3227,218.2204,0.783,31.8919,566.5073,0.7567,1.3098
2,projyear,3,1,np.log(bm) ~ dfi,0.0261,0.0257,9192.3701,857.3718,21.1031,1.1452,1.9324,0.3351,211.5464,0.781,34.8276,555.2283,0.7416,1.3312
3,projyear,4,1,np.log(bm) ~ dfi,0.0152,0.0148,9147.7421,807.0738,24.0107,1.078,2.0098,0.3485,202.6525,0.7552,39.0881,522.056,0.6973,1.3579
4,projyear,5,1,np.log(bm) ~ dfi,0.0249,0.0245,9243.8934,867.1028,19.033,1.1582,1.8427,0.3196,220.9775,0.7988,32.7151,560.8725,0.7492,1.2896
0,projyear,1,1,np.log(bm) ~ ndvi,0.277,0.2766,8543.2714,848.8416,7.2452,1.1338,1.5806,0.2741,350.8417,1.2382,12.4097,514.6469,0.6874,1.1192
1,projyear,2,1,np.log(bm) ~ ndvi,0.2864,0.2861,8534.6868,869.0853,7.5579,1.1609,1.5998,0.2774,448.867,1.6105,13.3302,531.3573,0.7097,1.1447
2,projyear,3,1,np.log(bm) ~ ndvi,0.2864,0.2861,8499.0829,979.0717,8.1931,1.3078,1.652,0.2865,467.0848,1.7243,13.49,563.7664,0.753,1.1754
3,projyear,4,1,np.log(bm) ~ ndvi,0.2885,0.2882,8423.1973,877.2012,10.7711,1.1717,1.7568,0.3047,410.4461,1.5295,17.5337,506.3772,0.6764,1.2257
4,projyear,5,1,np.log(bm) ~ ndvi,0.2837,0.2834,8556.3285,784.2617,7.2605,1.0476,1.5666,0.2717,371.4905,1.3428,12.5292,505.4556,0.6752,1.1192
0,projyear,1,1,np.log(bm) ~ ndti,0.3641,0.3638,8257.2693,1166.7971,5.1056,1.5585,1.4863,0.2578,640.0082,2.2588,8.6792,624.8944,0.8347,1.0778
1,projyear,2,1,np.log(bm) ~ ndti,0.3746,0.3743,8240.8115,1073.0498,4.7612,1.4333,1.5155,0.2628,538.5802,1.9324,8.4264,565.7394,0.7557,1.1214
2,projyear,3,1,np.log(bm) ~ ndti,0.3763,0.376,8199.0839,1195.8599,6.4408,1.5973,1.5717,0.2726,785.5786,2.9001,10.5716,605.2353,0.8084,1.1393
3,projyear,4,1,np.log(bm) ~ ndti,0.3634,0.3631,8175.3336,990.7109,6.2944,1.3233,1.6038,0.2781,551.7232,2.056,10.2755,549.2802,0.7337,1.1572
4,projyear,5,1,np.log(bm) ~ ndti,0.3714,0.3711,8265.4297,1160.0464,6.9313,1.5495,1.4799,0.2566,506.4323,1.8306,11.8403,610.2007,0.8151,1.0735
0,projyear,1,1,np.log(bm) ~ satvi,0.3282,0.3279,8379.4788,803.6493,5.7817,1.0735,1.5285,0.2651,381.1954,1.3454,10.0347,502.1808,0.6708,1.108
1,projyear,2,1,np.log(bm) ~ satvi,0.3365,0.3362,8372.3562,750.0887,5.8253,1.0019,1.5447,0.2679,377.216,1.3534,10.3848,487.2529,0.6508,1.1258
2,projyear,3,1,np.log(bm) ~ satvi,0.341,0.3407,8321.6835,713.9981,7.6115,0.9537,1.6155,0.2802,381.328,1.4077,12.629,474.8391,0.6343,1.1532
3,projyear,4,1,np.log(bm) ~ satvi,0.3314,0.3311,8284.6733,676.9341,8.489,0.9042,1.6659,0.2889,367.1257,1.3681,13.9201,448.8265,0.5995,1.1671
4,projyear,5,1,np.log(bm) ~ satvi,0.3344,0.3341,8392.9154,744.6364,6.4088,0.9946,1.5143,0.2626,353.5812,1.2781,11.089,482.4998,0.6445,1.093
0,projyear,1,1,np.log(bm) ~ ndii7,0.2072,0.2068,8748.6367,816.8993,10.1157,1.0912,1.6549,0.287,331.0454,1.1684,17.3374,502.5565,0.6713,1.1275
1,projyear,2,1,np.log(bm) ~ ndii7,0.2213,0.221,8729.1938,900.4803,9.9782,1.2028,1.6925,0.2935,490.8884,1.7613,17.5784,544.8058,0.7277,1.2035
2,projyear,3,1,np.log(bm) ~ ndii7,0.2153,0.215,8710.9136,875.9868,10.7975,1.1701,1.72,0.2983,441.6812,1.6305,17.8221,534.0658,0.7134,1.2018
3,projyear,4,1,np.log(bm) ~ ndii7,0.2157,0.2153,8640.4194,834.1858,13.4353,1.1142,1.8234,0.3162,417.3755,1.5554,21.9112,490.9311,0.6557,1.253
4,projyear,5,1,np.log(bm) ~ ndii7,0.2171,0.2168,8754.6084,760.7598,9.811,1.0162,1.6518,0.2865,395.8012,1.4307,16.9285,499.7804,0.6676,1.1594
0,projyear,1,1,np.log(bm) ~ nir,0.2716,0.2713,8559.6604,836.6219,9.4525,1.1175,1.6395,0.2843,333.9328,1.1786,16.3186,508.9936,0.6799,1.1611
1,projyear,2,1,np.log(bm) ~ nir,0.2685,0.2681,8590.0621,720.2404,8.9119,0.962,1.599,0.2773,318.5945,1.1431,15.7318,466.9755,0.6238,1.1251
2,projyear,3,1,np.log(bm) ~ nir,0.2808,0.2805,8516.5021,770.141,9.5853,1.0287,1.7075,0.2961,406.539,1.5008,15.892,502.7127,0.6715,1.1962
3,projyear,4,1,np.log(bm) ~ nir,0.2555,0.2551,8524.3859,649.6264,12.0794,0.8677,1.699,0.2946,320.5305,1.1945,19.7254,430.2032,0.5746,1.1544
4,projyear,5,1,np.log(bm) ~ nir,0.2734,0.273,8588.3807,763.8997,10.3331,1.0204,1.6016,0.2778,345.6561,1.2494,17.8121,483.6041,0.646,1.1154
0,projyear,1,1,np.log(bm) ~ swir1,0.4068,0.4066,8102.2436,673.6397,4.9974,0.8998,1.4283,0.2477,359.8608,1.2701,8.6084,431.081,0.5758,1.0041
1,projyear,2,1,np.log(bm) ~ swir1,0.4151,0.4148,8091.4244,870.0641,5.0669,1.1622,1.4484,0.2512,449.5828,1.6131,8.9016,497.3738,0.6644,1.0431
2,projyear,3,1,np.log(bm) ~ swir1,0.4231,0.4229,8025.1365,811.631,5.2407,1.0841,1.5353,0.2662,490.4565,1.8106,8.6378,505.9588,0.6758,1.1124
3,projyear,4,1,np.log(bm) ~ swir1,0.4047,0.4045,8025.6619,627.5039,6.6455,0.8382,1.5358,0.2663,359.2933,1.3389,10.8386,412.1502,0.5505,1.078
4,projyear,5,1,np.log(bm) ~ swir1,0.4173,0.417,8096.3715,702.9474,7.2263,0.9389,1.4417,0.25,394.0226,1.4243,12.4128,456.9795,0.6104,1.0224
0,projyear,1,1,np.log(bm) ~ swir2,0.4475,0.4472,7944.0612,716.8828,3.993,0.9576,1.371,0.2378,417.6661,1.4741,6.8668,451.9456,0.6037,0.9748
1,projyear,2,1,np.log(bm) ~ swir2,0.4578,0.4576,7922.2621,809.0787,4.0491,1.0807,1.4051,0.2437,468.1467,1.6797,7.1421,487.4608,0.6511,1.0313
