,model,kfold,numb_vars,formula,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
0,projyear,1,1,np.log(bm) ~ dfi + I(dfi**2),0.0418,0.0407,7402.6796,865.0445,30.0329,1.1582,2.2309,0.3928,212.44,0.7742,51.4894,558.1064,0.7472,1.547
1,projyear,2,1,np.log(bm) ~ dfi + I(dfi**2),0.0436,0.0425,7526.6552,805.6812,19.1461,1.0787,1.9471,0.3429,208.5864,0.7642,31.9919,520.8267,0.6973,1.3646
2,projyear,3,1,np.log(bm) ~ dfi + I(dfi**2),0.0502,0.0491,7535.3901,905.4403,18.8446,1.2122,1.9375,0.3412,209.2845,0.7393,33.4885,583.4392,0.7811,1.3643
3,projyear,4,1,np.log(bm) ~ dfi + I(dfi**2),0.0541,0.053,7450.2076,796.0981,28.3949,1.0659,2.1385,0.3766,221.1328,0.8066,51.4217,546.8311,0.7321,1.4848
4,projyear,5,1,np.log(bm) ~ dfi + I(dfi**2),0.045,0.0439,7510.2147,895.7534,19.9841,1.1993,1.9983,0.3519,217.7307,0.8094,35.0421,569.1409,0.762,1.4275
0,projyear,1,1,np.log(bm) ~ ndvi + I(ndvi**2),0.3348,0.334,6764.4026,649.841,9.406,0.87,1.8051,0.3179,296.0344,1.0789,16.2334,432.66,0.5793,1.2841
1,projyear,2,1,np.log(bm) ~ ndvi + I(ndvi**2),0.3638,0.3631,6813.6707,639.9875,8.8055,0.8568,1.7127,0.3016,347.8348,1.2743,14.7124,423.9512,0.5676,1.2344
2,projyear,3,1,np.log(bm) ~ ndvi + I(ndvi**2),0.3565,0.3557,6854.2012,668.4178,6.5067,0.8949,1.6404,0.2889,316.0875,1.1166,11.6373,438.2301,0.5867,1.1685
3,projyear,4,1,np.log(bm) ~ ndvi + I(ndvi**2),0.3444,0.3436,6808.8097,600.4098,9.8313,0.8039,1.7271,0.3041,349.5491,1.275,17.8619,420.4528,0.5629,1.2183
4,projyear,5,1,np.log(bm) ~ ndvi + I(ndvi**2),0.3395,0.3387,6865.1328,700.3202,6.2968,0.9376,1.6152,0.2844,337.23,1.2536,11.1313,445.8433,0.5969,1.1614
0,projyear,1,1,np.log(bm) ~ ndti + I(ndti**2),0.4839,0.4833,6320.4243,629.2731,4.7882,0.8425,1.499,0.264,285.928,1.0421,8.3172,399.5779,0.535,1.062
1,projyear,2,1,np.log(bm) ~ ndti + I(ndti**2),0.5126,0.512,6347.6873,617.1214,4.807,0.8262,1.4473,0.2549,359.9469,1.3187,8.0679,398.1958,0.5331,1.027
2,projyear,3,1,np.log(bm) ~ ndti + I(ndti**2),0.5206,0.52,6339.0392,636.3729,6.2382,0.852,1.4697,0.2588,339.2365,1.1984,11.0668,409.0115,0.5476,1.0167
3,projyear,4,1,np.log(bm) ~ ndti + I(ndti**2),0.5154,0.5148,6279.8505,584.9313,9.7096,0.7831,1.5643,0.2755,374.8919,1.3674,17.5862,399.876,0.5354,1.0749
4,projyear,5,1,np.log(bm) ~ ndti + I(ndti**2),0.5021,0.5015,6370.5578,675.2646,3.9503,0.9041,1.4128,0.2488,361.8442,1.3451,6.9769,419.1543,0.5612,1.0204
0,projyear,1,1,np.log(bm) ~ satvi + I(satvi**2),0.3627,0.3619,6689.482,709.9023,9.8019,0.9505,1.8104,0.3188,261.5277,0.9531,16.9126,433.8619,0.5809,1.2619
1,projyear,2,1,np.log(bm) ~ satvi + I(satvi**2),0.3723,0.3716,6790.1432,630.7898,8.2433,0.8445,1.6246,0.2861,285.7796,1.0469,13.8119,391.654,0.5244,1.1199
2,projyear,3,1,np.log(bm) ~ satvi + I(satvi**2),0.3779,0.3772,6794.9455,688.5967,8.8187,0.9219,1.6252,0.2862,285.0875,1.0071,15.6902,430.0879,0.5758,1.0985
3,projyear,4,1,np.log(bm) ~ satvi + I(satvi**2),0.3685,0.3678,6743.0661,618.4678,11.6159,0.828,1.7217,0.3032,321.7554,1.1736,21.1264,424.064,0.5678,1.1694
4,projyear,5,1,np.log(bm) ~ satvi + I(satvi**2),0.3566,0.3559,6819.0982,739.4082,7.2319,0.99,1.5735,0.2771,268.3888,0.9977,12.7586,432.0709,0.5785,1.0854
0,projyear,1,1,np.log(bm) ~ ndii7 + I(ndii7**2),0.2451,0.2442,6985.5843,660.5215,12.9402,0.8843,1.9025,0.335,313.9284,1.1441,22.2652,443.0053,0.5931,1.3323
1,projyear,2,1,np.log(bm) ~ ndii7 + I(ndii7**2),0.2748,0.274,7042.5933,655.7867,10.2511,0.878,1.783,0.314,338.6526,1.2406,17.1403,448.7025,0.6007,1.2951
2,projyear,3,1,np.log(bm) ~ ndii7 + I(ndii7**2),0.2692,0.2684,7076.7178,705.725,9.2861,0.9449,1.718,0.3025,305.6979,1.0799,16.5764,474.8579,0.6358,1.2367
3,projyear,4,1,np.log(bm) ~ ndii7 + I(ndii7**2),0.2697,0.2688,6997.5994,644.9212,12.644,0.8635,1.8838,0.3317,342.9327,1.2508,22.9615,450.3846,0.603,1.3248
4,projyear,5,1,np.log(bm) ~ ndii7 + I(ndii7**2),0.2608,0.26,7061.9846,738.161,8.2753,0.9883,1.7491,0.308,334.3425,1.2428,14.6121,476.8051,0.6384,1.2546
0,projyear,1,1,np.log(bm) ~ nir + I(nir**2),0.2851,0.2843,6890.2991,745.2322,15.2767,0.9978,1.9696,0.3468,277.5449,1.0115,26.2666,459.5,0.6152,1.353
1,projyear,2,1,np.log(bm) ~ nir + I(nir**2),0.2871,0.2863,7012.7129,678.6968,12.9922,0.9087,1.7344,0.3054,310.7848,1.1386,21.6727,428.0373,0.5731,1.187
2,projyear,3,1,np.log(bm) ~ nir + I(nir**2),0.2851,0.2843,7038.2193,739.6852,12.0615,0.9903,1.6889,0.2974,307.2429,1.0853,21.3966,463.2467,0.6202,1.1562
3,projyear,4,1,np.log(bm) ~ nir + I(nir**2),0.2735,0.2726,6988.4918,629.3653,16.0168,0.8426,1.7935,0.3158,244.9611,0.8935,29.0296,407.7133,0.5459,1.1898
4,projyear,5,1,np.log(bm) ~ nir + I(nir**2),0.276,0.2752,7025.5865,773.7484,9.9582,1.0359,1.7153,0.302,298.4824,1.1095,17.4962,453.968,0.6078,1.1761
0,projyear,1,1,np.log(bm) ~ swir1 + I(swir1**2),0.469,0.4684,6370.1534,607.9502,7.0017,0.814,1.578,0.2779,259.5848,0.9461,12.112,375.488,0.5027,1.0645
1,projyear,2,1,np.log(bm) ~ swir1 + I(swir1**2),0.5044,0.5038,6376.8891,581.3889,8.279,0.7784,1.5642,0.2754,333.1526,1.2205,13.8188,376.5557,0.5042,1.0742
2,projyear,3,1,np.log(bm) ~ swir1 + I(swir1**2),0.4959,0.4954,6426.6976,625.4099,6.3231,0.8373,1.4862,0.2617,302.2401,1.0677,11.2882,404.0369,0.5409,1.0249
3,projyear,4,1,np.log(bm) ~ swir1 + I(swir1**2),0.4749,0.4743,6420.098,523.2097,9.2017,0.7005,1.4961,0.2634,299.56,1.0926,16.6636,349.3824,0.4678,0.9909
4,projyear,5,1,np.log(bm) ~ swir1 + I(swir1**2),0.4773,0.4767,6455.6354,646.6892,4.6295,0.8658,1.4316,0.2521,313.9287,1.1669,8.2034,393.8025,0.5272,0.9991
0,projyear,1,1,np.log(bm) ~ swir2 + I(swir2**2),0.5202,0.5197,6192.7825,597.4333,5.0789,0.7999,1.4652,0.258,253.6041,0.9243,8.8313,365.6614,0.4896,0.9948
1,projyear,2,1,np.log(bm) ~ swir2 + I(swir2**2),0.5538,0.5533,6193.3049,564.2879,6.4616,0.7555,1.461,0.2573,322.246,1.1805,10.8085,359.7101,0.4816,0.9983
