Site,Disturbance,Exclosure,Date,Date_cln,Year,High_cm,Low_cm,Area (m^2),Total Weight (g),Total Weight (g/m^2),vor_reading_pct
lake creek,control,livestock ex,2018-07-03,2018-07-03,2018,37.891891891891895,7.135135135135135,0.10000000000000002,21.416666666666668,214.16666666666666,1.0
lake creek,control,livestock ex,2019-07-01,2019-07-01,2019,33.714285714285715,8.942857142857143,0.10000000000000002,18.066666666666666,180.66666666666663,1.0
lake creek,control,livestock ex,2020-07-01,2020-07-01,2020,30.61111111111111,5.972222222222222,0.10000000000000002,7.236666666666668,14.473333333333336,1.0
lake creek,control,livestock ex,2021-07-08,2021-07-08,2021,23.942857142857143,6.914285714285715,0.10000000000000002,4.673333333333333,46.73333333333333,1.0
lake creek,control,out,2018-07-03,2018-07-03,2018,28.892857142857142,7.285714285714286,0.10000000000000002,11.866666666666665,118.66666666666667,1.0
lake creek,control,out,2019-07-01,2019-07-01,2019,25.433333333333334,7.866666666666666,0.10000000000000002,14.516666666666667,145.16666666666666,1.0
lake creek,control,out,2020-07-01,2020-07-01,2020,18.724137931034484,3.7241379310344827,0.1,8.26,16.52,1.0
lake creek,control,out,2021-07-08,2021-07-08,2021,20.321428571428573,3.892857142857143,0.10000000000000002,6.516666666666667,65.16666666666667,1.0
lake creek,control,ungulate ex,2018-07-03,2018-07-03,2018,50.44736842105263,12.473684210526315,0.10000000000000002,29.66666666666667,296.6666666666667,1.0
lake creek,control,ungulate ex,2019-07-01,2019-07-01,2019,37.421052631578945,17.36842105263158,0.10000000000000002,23.083333333333332,230.83333333333337,1.0
lake creek,control,ungulate ex,2020-07-01,2020-07-01,2020,38.56410256410256,8.538461538461538,0.10000000000000002,11.416666666666666,22.833333333333332,1.0
lake creek,control,ungulate ex,2021-07-08,2021-07-08,2021,31.61111111111111,11.11111111111111,0.10000000000000002,17.096666666666668,170.9666666666666,1.0
lake creek,fire,livestock ex,2018-07-03,2018-07-03,2018,33.825,15.6,0.10000000000000002,27.75,277.5,1.0
lake creek,fire,livestock ex,2019-07-02,2019-07-01,2019,36.0,13.075,0.10000000000000002,24.066666666666666,240.6666666666666,1.0
