PRISM Time Series Data
Location:  Lat: 43.2929   Lon: -105.1229   Elev: 4783ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2022-09-01
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Mar-14
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1981-01-01,0.00,24.1,37.7,51.3,27.8,0.52,6.95
1981-01-02,0.00,20.9,32.1,43.3,22.6,0.43,4.94
1981-01-03,0.00,20.0,36.2,52.4,20.9,0.59,9.00
1981-01-04,0.00,20.9,35.4,49.9,20.9,0.60,8.01
1981-01-05,0.00,27.5,37.8,48.0,22.8,1.29,6.80
1981-01-06,0.00,23.5,33.3,43.0,22.5,0.80,4.90
1981-01-07,0.00,21.2,31.6,42.1,17.9,0.81,5.41
1981-01-08,0.00,17.2,31.4,45.5,14.5,0.85,7.26
1981-01-09,0.00,16.3,32.3,48.4,15.4,0.72,8.19
1981-01-10,0.00,17.9,27.7,37.5,15.1,0.80,4.17
1981-01-11,0.00,14.5,29.2,43.9,14.5,0.67,6.34
1981-01-12,0.00,14.3,29.4,44.6,12.2,0.61,6.75
1981-01-13,0.00,21.0,37.9,54.7,10.2,1.58,12.18
1981-01-14,0.00,20.3,34.0,47.7,11.7,1.34,8.27
1981-01-15,0.02,19.0,32.6,46.2,14.0,1.06,7.32
1981-01-16,0.04,16.5,23.9,31.2,15.8,0.51,2.54
1981-01-17,0.00,3.8,14.3,24.9,10.0,0.08,1.66
1981-01-18,0.00,4.8,21.3,37.8,11.9,0.39,3.98
1981-01-19,0.00,14.0,30.5,47.0,20.3,0.42,6.60
1981-01-20,0.00,18.1,32.9,47.6,18.4,0.65,7.17
1981-01-21,0.00,15.0,29.3,43.7,16.7,0.52,5.98
1981-01-22,0.00,19.0,37.3,55.5,17.3,0.94,11.52
1981-01-23,0.00,28.4,44.6,60.7,17.2,2.25,14.74
1981-01-24,0.00,29.2,47.0,64.9,17.1,2.78,17.58
1981-01-25,0.00,28.1,42.4,56.7,15.9,2.11,12.80
1981-01-26,0.00,17.1,25.9,34.6,17.0,0.55,3.48
1981-01-27,0.00,11.6,22.8,34.1,13.1,0.32,3.81
1981-01-28,0.00,13.4,26.9,40.3,12.7,0.54,5.67
1981-01-29,0.00,16.6,27.2,37.9,18.4,0.42,3.99
1981-01-30,0.00,16.3,25.3,34.3,18.1,0.37,2.96
