Transect,Point,Easting,Northing,Veg_date,pt_year,Year,direction,Low_cm,High_cm,vor_reading_pct
C1,C1.1,486913,4813259,2015-07-23,C1.1_2015,2015,45.0,0.4444444444444444,7.888888888888889,0.6428571428571429
C1,C1.1,486913,4813259,2016-06-29,C1.1_2016,2016,45.0,0.9,9.5,0.7142857142857143
C1,C1.1,486913,4813259,2017-07-06,C1.1_2017,2017,45.0,2.0833333333333335,18.916666666666668,0.8571428571428571
C1,C1.1,486913,4813259,2018-06-18,C1.1_2018,2018,45.0,4.818181818181818,27.90909090909091,0.7857142857142857
C1,C1.1,486913,4813259,2019-06-13,C1.1_2019,2019,45.0,6.4,33.3,1.0
C1,C1.2,487089,4813082,2015-07-23,C1.2_2015,2015,225.0,12.785714285714286,36.142857142857146,1.0
C1,C1.2,487089,4813082,2016-06-29,C1.2_2016,2016,225.0,7.428571428571429,23.857142857142858,1.0
C1,C1.2,487089,4813082,2017-07-06,C1.2_2017,2017,225.0,11.285714285714286,29.214285714285715,1.0
C1,C1.2,487089,4813082,2018-06-18,C1.2_2018,2018,225.0,11.571428571428571,37.785714285714285,1.0
C1,C1.2,487089,4813082,2019-06-13,C1.2_2019,2019,225.0,6.785714285714286,35.285714285714285,1.0
C1,C1.3,487266,4812905,2015-07-23,C1.3_2015,2015,45.0,3.0833333333333335,12.583333333333334,0.8571428571428571
C1,C1.3,487266,4812905,2016-06-29,C1.3_2016,2016,45.0,1.2857142857142858,4.357142857142857,1.0
C1,C1.3,487266,4812905,2017-07-06,C1.3_2017,2017,45.0,0.9285714285714286,12.142857142857142,1.0
C1,C1.3,487266,4812905,2018-06-18,C1.3_2018,2018,45.0,3.9285714285714284,16.5,1.0
C1,C1.3,487266,4812905,2019-06-13,C1.3_2019,2019,45.0,3.9285714285714284,22.142857142857142,1.0
C1,C1.4,487443,4812728,2015-07-23,C1.4_2015,2015,225.0,2.4285714285714284,8.357142857142858,1.0
C1,C1.4,487443,4812728,2016-06-29,C1.4_2016,2016,225.0,0.5714285714285714,4.142857142857143,1.0
C1,C1.4,487443,4812728,2017-07-06,C1.4_2017,2017,225.0,2.2142857142857144,12.928571428571429,1.0
C1,C1.4,487443,4812728,2018-06-18,C1.4_2018,2018,225.0,4.928571428571429,16.428571428571427,1.0
C1,C1.4,487443,4812728,2019-06-13,C1.4_2019,2019,225.0,2.9285714285714284,24.071428571428573,1.0
C1,C1.5,487620,4812552,2015-07-23,C1.5_2015,2015,45.0,2.5,7.0,1.0
C1,C1.5,487620,4812552,2016-06-29,C1.5_2016,2016,45.0,0.9285714285714286,3.142857142857143,1.0
C1,C1.5,487620,4812552,2017-07-06,C1.5_2017,2017,45.0,0.6428571428571429,8.357142857142858,1.0
C1,C1.5,487620,4812552,2018-06-18,C1.5_2018,2018,45.0,2.7857142857142856,25.928571428571427,1.0
C1,C1.5,487620,4812552,2019-06-13,C1.5_2019,2019,45.0,9.142857142857142,19.642857142857142,1.0
C1,C1.6,487796,4812375,2015-07-23,C1.6_2015,2015,225.0,2.272727272727273,5.545454545454546,0.7857142857142857
C1,C1.6,487796,4812375,2016-06-29,C1.6_2016,2016,225.0,1.0,3.6153846153846154,0.9285714285714286
C1,C1.6,487796,4812375,2017-07-06,C1.6_2017,2017,225.0,2.1538461538461537,13.461538461538462,0.9285714285714286
C1,C1.6,487796,4812375,2018-06-18,C1.6_2018,2018,225.0,6.357142857142857,30.857142857142858,1.0
C1,C1.6,487796,4812375,2019-06-13,C1.6_2019,2019,225.0,10.571428571428571,18.285714285714285,1.0
C1,C1.7,487973,4812198,2015-07-23,C1.7_2015,2015,45.0,6.571428571428571,9.642857142857142,1.0
C1,C1.7,487973,4812198,2016-06-29,C1.7_2016,2016,45.0,2.142857142857143,5.642857142857143,1.0
C1,C1.7,487973,4812198,2017-07-06,C1.7_2017,2017,45.0,2.4285714285714284,8.785714285714286,1.0
C1,C1.7,487973,4812198,2018-06-18,C1.7_2018,2018,45.0,12.571428571428571,31.214285714285715,1.0
C1,C1.7,487973,4812198,2019-06-13,C1.7_2019,2019,45.0,14.928571428571429,24.928571428571427,1.0
C1,C1.8,488150,4812021,2015-07-23,C1.8_2015,2015,225.0,6.5,15.142857142857142,1.0
C1,C1.8,488150,4812021,2016-06-29,C1.8_2016,2016,225.0,25.142857142857142,46.92857142857143,1.0
C1,C1.8,488150,4812021,2017-07-06,C1.8_2017,2017,225.0,34.5,45.583333333333336,0.8571428571428571
C10,C10.1,499854,4819233,2015-07-12,C10.1_2015,2015,45.0,3.0,11.142857142857142,1.0
C10,C10.1,499854,4819233,2016-06-30,C10.1_2016,2016,45.0,0.8333333333333334,5.083333333333333,0.8571428571428571
C10,C10.1,499854,4819233,2017-06-30,C10.1_2017,2017,45.0,2.0,6.642857142857143,1.0
C10,C10.1,499854,4819233,2018-07-01,C10.1_2018,2018,,5.785714285714286,21.857142857142858,1.0
