Block,Paddock,Date,Year_clip,Plot_clip,Total Weight (g/m^2),Plot,High_cm,Low_cm,Year,vor_reading_pct
1,1,7/21/2020,2020.0,15.0,24.04,15.0,15.2,3.2,2020.0,1.0
1,1,7/23/2020,2020.0,18.0,23.0,18.0,2.0,1.0,2020.0,1.0
1,1,7/27/2021,2021.0,15.5,47.96666666666667,15.5,14.666666666666666,3.0,2021.0,1.0
1,1,7/9/2019,2019.0,2.0,139.93333333333334,,34.333333333333336,6.333333333333333,2019.0,1.0
1,2,7/21/2020,2020.0,3.5,35.25,3.5,13.666666666666666,2.3333333333333335,2020.0,1.0
1,2,7/27/2021,2021.0,3.5,78.46666666666667,3.5,15.833333333333334,3.8333333333333335,2021.0,1.0
1,2,7/9/2019,2019.0,2.0,116.39999999999999,,21.666666666666668,5.0,2019.0,1.0
1,3,7/21/2020,2020.0,9.5,33.85,9.5,9.166666666666666,2.0,2020.0,1.0
1,3,7/27/2021,2021.0,9.5,50.1,9.5,11.0,2.0,2021.0,1.0
1,3,7/9/2019,2019.0,2.0,173.13333333333333,,22.0,4.333333333333333,2019.0,1.0
2,1,7/23/2020,2020.0,27.5,29.38333333333333,27.5,7.333333333333333,1.8333333333333333,2020.0,1.0
2,1,7/26/2019,2019.0,2.0,105.86666666666667,,23.333333333333332,2.6666666666666665,2019.0,1.0
2,1,7/27/2021,2021.0,27.5,40.65,27.5,13.0,1.1666666666666667,2021.0,1.0
2,2,7/23/2020,2020.0,21.5,27.71666666666667,21.5,8.0,1.8333333333333333,2020.0,1.0
2,2,7/26/2019,2019.0,2.0,48.73333333333333,,31.0,3.3333333333333335,2019.0,1.0
2,2,7/27/2021,2021.0,21.5,39.93333333333333,21.5,10.0,1.5,2021.0,1.0
2,3,7/23/2020,2020.0,33.5,28.46666666666667,33.5,8.0,1.8333333333333333,2020.0,1.0
2,3,7/26/2019,2019.0,2.0,70.46666666666667,,17.333333333333332,2.3333333333333335,2019.0,1.0
2,3,7/27/2021,2021.0,33.5,43.51666666666667,33.5,10.666666666666666,2.0,2021.0,1.0
3,1,7/26/2019,2019.0,2.0,102.66666666666667,,23.333333333333332,5.0,2019.0,1.0
3,1,7/27/2020,2020.0,51.5,55.13333333333333,51.5,14.166666666666666,2.8333333333333335,2020.0,1.0
3,1,7/27/2021,2021.0,51.5,52.9,51.5,11.333333333333334,1.5,2021.0,1.0
3,2,7/26/2019,2019.0,2.0,59.73333333333333,,18.666666666666668,5.333333333333333,2019.0,1.0
3,2,7/27/2020,2020.0,45.5,35.766666666666666,45.5,9.416666666666666,1.8333333333333333,2020.0,1.0
3,2,7/27/2021,2021.0,45.5,51.583333333333336,45.5,11.25,1.6666666666666667,2021.0,1.0
3,3,7/26/2019,2019.0,2.0,114.40000000000002,,32.666666666666664,6.666666666666667,2019.0,1.0
3,3,7/27/2020,2020.0,39.5,55.13333333333333,39.5,12.666666666666666,2.6666666666666665,2020.0,1.0
3,3,7/27/2021,2021.0,39.5,64.64999999999999,39.5,12.166666666666666,1.6666666666666667,2021.0,1.0
