Date,Pasture,PD,Plot,High_cm,Low_cm,Total Weight (g/m^2),Mean.GPS_E.Biomass,Mean.GPS_N.Biomass,Year,vor_reading_ct
2019-06-25,section 8,No,8,24.5,10.5,271.94,485517.781,4792246.63,2019,4
2019-07-15,north owens,Yes,1,29.0,12.0,189.76000000000002,489387.78099999996,4798226.63,2019,4
2019-07-15,north owens,Yes,6,36.0,5.333333333333333,106.92,488927.78099999996,4798036.63,2019,3
2019-07-15,north owens,Yes,9,42.333333333333336,6.0,132.0,489337.78099999996,4797976.63,2019,3
2019-07-16,north owens,Yes,4,22.25,7.75,177.66000000000003,488907.78099999996,4798256.63,2019,4
2019-07-16,north owens,Yes,11,22.0,4.25,61.47999999999999,489097.78099999996,4798316.63,2019,4
2019-07-16,north owens,Yes,12,20.5,6.25,86.58,489187.78099999996,4798366.63,2019,4
2019-07-18,north owens,Yes,3,15.0,3.5,89.94,489067.78099999996,4798606.63,2019,4
2019-07-18,north owens,Yes,10,30.75,12.0,177.92000000000002,488937.78099999996,4798486.63,2019,4
2019-07-22,north owens,Yes,5,18.0,2.25,50.7,488957.78099999996,4798676.63,2019,4
2019-07-22,north owens,Yes,7,18.75,4.5,76.22000000000001,489447.78099999996,4798356.63,2019,4
2019-07-22,north owens,Yes,8,11.75,0.0,56.86,489197.78099999996,4798516.63,2019,4
2019-07-23,north owens,No,6,33.75,6.5,125.90000000000002,488737.78099999996,4799526.63,2019,4
2019-07-23,north owens,No,7,31.0,12.5,205.4,488707.78099999996,4799016.63,2019,4
2019-07-23,north owens,No,10,27.25,8.75,144.28,489137.78099999996,4799196.63,2019,4
2019-07-23,north owens,No,11,32.0,12.333333333333334,122.33999999999999,488617.78099999996,4798926.63,2019,3
2019-07-24,north owens,No,1,43.25,24.0,376.64,488447.78099999996,4799306.63,2019,4
2019-07-24,north owens,No,2,21.25,0.0,72.08000000000001,488047.78099999996,4799106.63,2019,4
2019-07-24,north owens,No,3,33.25,1.0,34.080000000000005,487917.78099999996,4798466.63,2019,4
2019-07-24,north owens,No,4,12.5,3.25,52.86,487657.78099999996,4799346.63,2019,4
2019-07-24,north owens,No,5,10.5,0.0,31.199999999999996,487647.78099999996,4798656.63,2019,4
2019-07-24,north owens,No,9,48.0,10.25,136.88,487787.78099999996,4798016.63,2019,4
2019-07-24,north owens,No,12,27.25,5.0,56.82000000000001,487557.78099999996,4798336.63,2019,4
2019-07-25,top,No,1,29.25,9.0,231.98000000000002,484517.781,4792596.63,2019,4
2019-07-25,top,No,2,21.0,7.5,153.5,484067.781,4792576.63,2019,4
2019-07-29,top,No,3,38.0,13.0,155.1,484487.781,4793736.63,2019,3
2019-07-29,top,No,4,31.75,15.25,126.7,484917.781,4793626.63,2019,4
2019-07-29,top,No,5,18.0,0.0,37.059999999999995,485057.781,4792466.63,2019,3
2019-07-29,top,No,7,23.666666666666668,11.333333333333334,79.36,485147.781,4792856.63,2019,3
2019-07-29,top,No,8,27.75,13.0,154.72,485437.781,4791876.63,2019,4
2019-07-30,mid weiss K,No,5,33.25,12.0,153.88,487827.78099999996,4789476.63,2019,4
2019-08-01,east ne weiss,No,1,34.25,24.25,183.44,487377.78099999996,4788436.63,2019,4
2019-08-01,east ne weiss,No,2,24.5,14.75,147.2,487557.78099999996,4791366.63,2019,4
2019-08-01,east ne weiss,No,3,25.25,11.25,127.72,486997.78099999996,4791086.63,2019,4
2019-08-01,east ne weiss,No,4,29.25,7.75,131.77999999999997,487977.78099999996,4789506.63,2019,4
2019-08-01,east ne weiss,No,5,41.5,18.5,187.24,487827.78099999996,4789476.63,2019,4
2019-08-01,east ne weiss,No,6,24.5,11.5,239.3,486847.78099999996,4791306.63,2019,4
2019-08-05,east ne weiss,No,7,18.75,1.25,65.02000000000001,486617.781,4788956.63,2019,4
2019-08-05,mid weiss K,No,16,33.25,16.75,194.68,488457.78099999996,4789076.63,2019,4
2019-08-06,ne cameron place,No,2,26.0,5.0,84.66,489707.78099999996,4793006.63,2019,4
2019-08-06,ne cameron place,No,6,29.0,7.0,132.43999999999997,489717.78099999996,4792806.63,2019,3
2019-08-06,ne cameron place,No,9,26.666666666666668,2.3333333333333335,60.879999999999995,490257.78099999996,4792206.63,2019,3
2019-08-06,ne cameron place,No,10,23.0,3.3333333333333335,76.52,490177.78099999996,4792996.63,2019,3
2019-08-12,north school section H,No,2,40.0,16.25,172.61999999999998,487557.78099999996,4791366.63,2019,4
2019-08-12,north school section H,No,22,30.25,10.25,164.32,487617.78099999996,4791256.63,2019,4
2019-08-29,north owens,No,8,20.0,4.333333333333333,56.837999999999994,487787.78099999996,4798726.63,2019,3
2020-06-02,west weiss E,No,3,27.25,10.25,133.38,484697.781,4788456.63,2020,4
2020-06-02,west weiss E,No,20,34.0,9.5,231.97999999999996,484947.781,4788426.63,2020,4
2020-06-22,center owens,No,1,11.5,5.25,193.4,488527.78099999996,4795776.63,2020,4
2020-06-22,center owens,No,3,6.666666666666667,2.6666666666666665,27.34,488157.78099999996,4795996.63,2020,3
2020-06-22,center owens,No,9,10.0,2.3333333333333335,37.199999999999996,488297.78099999996,4796686.63,2020,3
2020-06-22,center owens,No,10,13.5,4.25,50.599999999999994,487847.78099999996,4795976.63,2020,4
2020-06-23,north owens,No,1,30.0,9.0,103.2478,488447.78099999996,4799306.63,2020,4
2020-06-23,north owens,No,3,5.0,0.0,104.16,487917.78099999996,4798466.63,2020,4
2020-06-23,north owens,No,8,8.333333333333334,1.0,45.395199999999996,487787.78099999996,4798726.63,2020,3
2020-06-23,north owens,No,12,23.25,9.5,187.63,487557.78099999996,4798336.63,2020,4
2020-06-24,north owens,No,6,25.666666666666668,6.666666666666667,80.1276,488737.78099999996,4799526.63,2020,3
2020-06-24,north owens,No,7,17.75,5.75,49.28,488707.78099999996,4799016.63,2020,4
2020-06-24,north owens,No,10,23.0,5.666666666666667,67.9642,489137.78099999996,4799196.63,2020,3
2020-06-24,north owens,No,11,18.0,4.333333333333333,40.13999999999999,488617.78099999996,4798926.63,2020,3
2020-06-24,north owens,Yes,5,14.25,3.25,53.83959999999999,488957.78099999996,4798676.63,2020,4
2020-06-25,north owens,Yes,3,10.75,3.0,11.395999999999999,489067.78099999996,4798606.63,2020,4
2020-06-25,north owens,Yes,7,11.75,4.0,74.72000000000001,489447.78099999996,4798356.63,2020,4
2020-06-25,north owens,Yes,8,4.75,1.25,9.14,489197.78099999996,4798516.63,2020,4
2020-06-25,north owens,Yes,10,21.75,6.75,117.20000000000002,488937.78099999996,4798486.63,2020,4
2020-06-26,north owens,Yes,4,24.5,6.75,184.85160000000002,488907.78099999996,4798256.63,2020,4
2020-06-26,north owens,Yes,6,14.0,3.0,75.333,488927.78099999996,4798036.63,2020,4
2020-06-26,north owens,Yes,11,15.0,1.75,59.0,489097.78099999996,4798316.63,2020,4
2020-06-26,north owens,Yes,13,13.5,3.5,103.72379999999998,489307.78099999996,4798336.63,2020,4
2020-07-02,north owens,Yes,2,15.666666666666666,4.666666666666667,28.9824,489087.78099999996,4798826.63,2020,3
2020-07-02,north owens,Yes,9,11.75,3.0,40.6486,489337.78099999996,4797976.63,2020,4
2020-07-21,west weiss C,No,21,18.666666666666668,3.6666666666666665,53.52,485757.781,4791186.63,2020,3
2020-07-21,west weiss C,No,28,17.25,3.0,47.6644,485557.781,4790436.63,2020,4
2020-07-21,west weiss C,No,33,21.0,8.5,169.1206,485757.781,4789976.63,2020,4
2020-07-22,east weiss K,No,4,28.5,7.0,57.046200000000006,487977.78099999996,4789506.63,2020,4
2020-07-22,east weiss K,No,5,20.5,5.5,120.9696,487827.78099999996,4789476.63,2020,4
2020-07-22,east weiss K,No,8,21.25,7.5,35.42,488497.78099999996,4789536.63,2020,4
2020-07-22,east weiss K,No,11,13.25,4.0,36.42,487957.78099999996,4789626.63,2020,4
2020-07-22,east weiss K,No,16,23.5,5.75,89.86000000000001,488457.78099999996,4789076.63,2020,4
2020-07-27,top,No,1,14.5,2.75,41.6452,484517.781,4792596.63,2020,4
2020-07-27,top,No,2,20.5,6.0,59.511600000000016,484067.781,4792576.63,2020,4
2020-07-27,top,No,5,10.75,3.0,39.388600000000004,485057.781,4792466.63,2020,4
2020-07-27,top,No,8,17.75,4.25,79.9,485437.781,4791876.63,2020,4
2020-07-27,top,No,10,14.75,5.5,63.283,484307.781,4792736.63,2020,4
2020-07-28,top,No,3,21.5,9.25,49.77619999999999,484487.781,4793736.63,2020,4
2020-07-28,top,No,9,20.5,6.5,46.519999999999996,484227.781,4793846.63,2020,4
2020-07-28,top,No,12,26.0,5.75,67.76,484337.781,4793356.63,2020,4
2020-07-28,top,No,13,20.25,5.5,80.36,484427.781,4793536.63,2020,4
2020-07-29,top,No,4,27.25,4.75,98.56,484917.781,4793626.63,2020,4
2020-07-29,top,No,6,16.0,4.0,41.54,485457.781,4792786.63,2020,4
2020-07-29,top,No,7,15.75,5.25,56.92,485147.781,4792856.63,2020,4
2020-07-29,top,No,11,17.5,2.75,38.4526,485287.781,4792826.63,2020,4
2020-07-29,top,No,14,10.0,3.75,29.5064,484657.781,4793586.63,2020,4
2020-07-30,west weiss C,No,4,17.5,8.25,173.32,485747.781,4790106.63,2020,4
2020-08-04,section 4,No,1,18.5,5.5,48.755,488087.78099999996,4793626.63,2020,4
2020-08-10,section 4,No,5,30.75,8.0,46.3176,488317.78099999996,4794516.63,2020,4
2020-08-10,section 4,No,9,23.25,4.75,53.019999999999996,488207.78099999996,4794336.63,2020,4
2020-08-10,section 4,No,11,24.0,7.25,70.0268,488527.78099999996,4794066.63,2020,4
2021-06-08,upper rattlesnake,Yes,5,20.666666666666668,4.333333333333333,66.12799999999999,501507.78099999996,4803366.63,2021,3
2021-06-08,upper rattlesnake,Yes,10,16.0,2.75,80.916,501327.78099999996,4803506.63,2021,4
2021-06-08,upper rattlesnake,Yes,23,20.5,5.0,83.30199999999999,501077.78099999996,4803066.63,2021,4
2021-06-14,upper rattlesnake,No,31,30.0,10.5,227.51,500627.78099999996,4801956.63,2021,4
2021-06-14,upper rattlesnake,Yes,7,21.25,3.5,97.982,501387.78099999996,4802436.63,2021,4
2021-06-14,upper rattlesnake,Yes,29,15.5,2.75,53.406,500997.78099999996,4802836.63,2021,4
2021-06-14,upper rattlesnake,Yes,33,20.75,4.0,88.69600000000001,502037.78099999996,4802026.63,2021,4
2021-06-14,upper rattlesnake,Yes,36,14.333333333333334,1.3333333333333333,100.23000000000002,500527.78099999996,4804156.63,2021,3
2021-06-15,hogsback,No,6,15.0,1.6666666666666667,96.50600000000001,504537.78099999996,4802246.63,2021,3
2021-06-15,hogsback,No,8,24.5,2.5,93.72999999999999,503497.78099999996,4802206.63,2021,4
2021-06-15,hogsback,No,14,22.0,5.25,144.798,503937.78099999996,4801686.63,2021,4
2021-06-15,hogsback,No,19,32.0,7.333333333333333,283.63599999999997,504497.78099999996,4801816.63,2021,3
2021-06-15,hogsback,Yes,5,13.75,1.5,35.426,504617.78099999996,4803546.63,2021,4
2021-06-16,hogsback,Yes,3,33.0,8.333333333333334,221.398,504837.78099999996,4804026.63,2021,3
2021-06-16,hogsback,Yes,4,27.0,4.0,124.85499999999999,502997.78099999996,4804336.63,2021,4
2021-06-16,hogsback,Yes,8,15.5,3.0,102.80999999999999,504257.78099999996,4804016.63,2021,4
2021-06-16,hogsback,Yes,10,26.0,5.25,78.24419999999999,504727.78099999996,4804216.63,2021,4
2021-06-21,center owens,No,3,8.5,1.0,35.071600000000004,488157.78099999996,4795996.63,2021,4
2021-06-22,center owens,No,5,10.25,2.0,46.048,487747.78099999996,4796966.63,2021,4
2021-06-22,center owens,No,7,16.666666666666668,1.6666666666666667,64.528,487877.78099999996,4797446.63,2021,3
2021-06-22,center owens,No,8,13.25,2.0,70.29540000000001,487987.78099999996,4797116.63,2021,4
2021-06-22,center owens,No,9,21.5,2.5,36.606,488297.78099999996,4796686.63,2021,4
2021-06-22,center owens,No,14,31.666666666666668,3.3333333333333335,107.964,487987.78099999996,4797216.63,2021,3
2021-06-22,center owens,No,15,7.5,2.0,52.464,487667.78099999996,4797566.63,2021,4
2021-06-28,center owens,No,2,13.0,2.0,25.092,487777.78099999996,4797836.63,2021,4
2021-06-28,center owens,No,6,6.5,1.25,36.233999999999995,487867.78099999996,4797606.63,2021,4
